file,stem,path,source_dir,channel,embedding_dimension,status,error,n_samples_original,n_samples_used,state_dim,subsample_step,dt_used,steps_used,elapsed_sec,dataset_id,sample_id,observable,ordered_coordinate,source_file,Exp1,Exp2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10
10dembedded_D__macroscopic_removal_cross_section.npy,10dembedded_D__macroscopic_removal_cross_section,embeddings_4to10/10dembedded_D__macroscopic_removal_cross_section.npy,embeddings_4to10,D__macroscopic_removal_cross_section,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.015070676803588867,N003,D,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,99.6644527383813,73.24081154391773,57.428876050279,26.720953633528996,8.35649414317361,-14.23494027855004,-38.67245181910573,-63.607442119247075,-117.72395269233601,-221.31109930256594
10dembedded_D__transmission.npy,10dembedded_D__transmission,embeddings_4to10/10dembedded_D__transmission.npy,embeddings_4to10,D__transmission,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.014619112014770508,N003,D,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,110.81712046051057,76.24546607295295,44.46248239005652,20.69065574574662,10.554003611188797,-18.328036401429692,-38.94918682573331,-67.5784051507535,-115.04624445827133,-232.59856322434467
10dembedded_R__macroscopic_removal_cross_section.npy,10dembedded_R__macroscopic_removal_cross_section,embeddings_4to10/10dembedded_R__macroscopic_removal_cross_section.npy,embeddings_4to10,R__macroscopic_removal_cross_section,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.013806819915771484,N003,R,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,124.76933276915135,88.39154596770761,47.68445418303725,36.67630015946617,8.723049557535607,-18.34125597760917,-39.68037043855603,-61.882770818040356,-107.33533284260204,-283.6985827623128
10dembedded_R__transmission.npy,10dembedded_R__transmission,embeddings_4to10/10dembedded_R__transmission.npy,embeddings_4to10,R__transmission,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.013869285583496094,N003,R,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,114.9458263830075,80.65567925505592,55.90188374511732,31.569756098237253,5.963403590318417,-9.25981111855186,-34.65334556170697,-61.47871684106647,-112.07215546830216,-271.0014726108429
10dembedded_S__macroscopic_removal_cross_section.npy,10dembedded_S__macroscopic_removal_cross_section,embeddings_4to10/10dembedded_S__macroscopic_removal_cross_section.npy,embeddings_4to10,S__macroscopic_removal_cross_section,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.013939619064331055,N003,S,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,132.38381843229837,87.72524028884284,56.038494859130374,26.052995208496707,0.8849673929264193,-8.360763099148397,-29.188281898747498,-62.44382369323726,-103.31015573584725,-248.2969789840758
10dembedded_S__transmission.npy,10dembedded_S__transmission,embeddings_4to10/10dembedded_S__transmission.npy,embeddings_4to10,S__transmission,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.013809919357299805,N003,S,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,121.77999838396141,86.54929464353678,56.84990061995029,32.195859521805204,14.08755739844234,-15.860850012859874,-33.687982720655896,-55.36573066097527,-109.39359639492461,-226.30881226566038
10dembedded_T__macroscopic_removal_cross_section.npy,10dembedded_T__macroscopic_removal_cross_section,embeddings_4to10/10dembedded_T__macroscopic_removal_cross_section.npy,embeddings_4to10,T__macroscopic_removal_cross_section,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.014142274856567383,N003,T,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,127.53824392290878,72.48596771923802,56.00993052058151,27.80317460542627,4.8693641391674864,-17.24246231535522,-41.441139475899384,-68.98327947499816,-99.3377140517255,-233.57661831314903
10dembedded_T__transmission.npy,10dembedded_T__transmission,embeddings_4to10/10dembedded_T__transmission.npy,embeddings_4to10,T__transmission,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.0136871337890625,N003,T,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,124.84192094049648,79.90130493082006,51.35515894573457,36.19498970756883,8.406804010056044,-15.963350257912603,-38.96337007417699,-60.840871937261284,-120.39267489871527,-236.84099157251137
10dembedded_U__macroscopic_removal_cross_section.npy,10dembedded_U__macroscopic_removal_cross_section,embeddings_4to10/10dembedded_U__macroscopic_removal_cross_section.npy,embeddings_4to10,U__macroscopic_removal_cross_section,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.014000177383422852,N003,U,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,110.92724498149589,81.80121014649787,65.0928523364967,16.371741951105147,-0.22555544568403563,-18.943320114438816,-43.73841849624615,-64.79193632558571,-113.77455104590268,-218.42828070174195
10dembedded_U__transmission.npy,10dembedded_U__transmission,embeddings_4to10/10dembedded_U__transmission.npy,embeddings_4to10,U__transmission,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.014275789260864258,N003,U,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,129.2514192674058,65.19219633827053,54.414257094240554,27.871918183911696,10.516519130259063,-13.829547612852364,-39.981938514967254,-72.7671554386081,-105.7504085239472,-237.4229215494125
