sample_id,initial_phase_bin_center,initial_probability
C,0.4107142857142857,0.030399999999999993
C,0.4464285714285714,0.028999999999999995
C,0.4821428571428571,0.029999999999999995
C,0.5178571428571428,0.024599999999999997
C,0.5535714285714286,0.024599999999999997
C,0.5892857142857142,0.026799999999999994
C,0.625,0.0314
C,0.6607142857142856,0.031999999999999994
C,0.6964285714285714,0.031799999999999995
C,0.7321428571428571,0.039799999999999995
C,0.7678571428571428,0.045599999999999995
C,0.8035714285714286,0.04879999999999999
C,0.8392857142857142,0.04819999999999999
C,0.875,0.04999999999999999
C,0.9107142857142856,0.04979999999999999
C,0.9464285714285714,0.04779999999999999
C,0.9821428571428571,0.04639999999999999
D,0.017857142857142856,0.04359999999999999
D,0.05357142857142857,0.041199999999999994
D,0.08928571428571427,0.03599999999999999
D,0.125,0.034199999999999994
D,0.1607142857142857,0.029799999999999993
D,0.1964285714285714,0.0314
D,0.23214285714285715,0.028599999999999993
D,0.26785714285714285,0.031799999999999995
D,0.30357142857142855,0.03339999999999999
D,0.33928571428571425,0.025999999999999995
D,0.375,0.026999999999999996
D,0.4107142857142857,0.023799999999999995
D,0.4464285714285714,0.025599999999999994
D,0.4821428571428571,0.026199999999999994
D,0.5178571428571428,0.022399999999999996
D,0.5535714285714286,0.027799999999999995
D,0.5892857142857142,0.022799999999999997
D,0.625,0.023999999999999997
D,0.6607142857142856,0.029799999999999993
D,0.6964285714285714,0.03459999999999999
D,0.7321428571428571,0.032999999999999995
D,0.7678571428571428,0.04619999999999999
D,0.8035714285714286,0.04619999999999999
D,0.8392857142857142,0.05719999999999999
D,0.875,0.06099999999999999
D,0.9107142857142856,0.05579999999999999
D,0.9464285714285714,0.05439999999999999
D,0.9821428571428571,0.04619999999999999
R,0.017857142857142856,0.049199999999999994
R,0.05357142857142857,0.041199999999999994
R,0.08928571428571427,0.04279999999999999
R,0.125,0.031999999999999994
R,0.1607142857142857,0.036199999999999996
R,0.1964285714285714,0.03339999999999999
R,0.23214285714285715,0.031799999999999995
R,0.26785714285714285,0.028999999999999995
R,0.30357142857142855,0.03239999999999999
R,0.33928571428571425,0.028799999999999996
R,0.375,0.030199999999999994
R,0.4107142857142857,0.024599999999999997
R,0.4464285714285714,0.028599999999999993
R,0.4821428571428571,0.026999999999999996
R,0.5178571428571428,0.022799999999999997
R,0.5535714285714286,0.027799999999999995
R,0.5892857142857142,0.023799999999999995
R,0.625,0.027999999999999994
R,0.6607142857142856,0.024999999999999994
R,0.6964285714285714,0.028199999999999996
R,0.7321428571428571,0.03319999999999999
R,0.7678571428571428,0.04059999999999999
R,0.8035714285714286,0.04539999999999999
R,0.8392857142857142,0.04979999999999999
R,0.875,0.05119999999999999
R,0.9107142857142856,0.05739999999999999
R,0.9464285714285714,0.05259999999999999
R,0.9821428571428571,0.04699999999999999
S,0.017857142857142856,0.05079999999999999
S,0.05357142857142857,0.04039999999999999
S,0.08928571428571427,0.04059999999999999
S,0.125,0.04019999999999999
S,0.1607142857142857,0.03319999999999999
S,0.1964285714285714,0.03359999999999999
S,0.23214285714285715,0.031999999999999994
S,0.26785714285714285,0.030999999999999993
S,0.30357142857142855,0.03339999999999999
S,0.33928571428571425,0.025199999999999997
S,0.375,0.025199999999999997
S,0.4107142857142857,0.026999999999999996
S,0.4464285714285714,0.028399999999999995
S,0.4821428571428571,0.022199999999999998
S,0.5178571428571428,0.023199999999999995
S,0.5535714285714286,0.022799999999999997
S,0.5892857142857142,0.022799999999999997
S,0.625,0.024599999999999997
S,0.6607142857142856,0.022599999999999995
S,0.6964285714285714,0.030999999999999993
S,0.7321428571428571,0.03239999999999999
S,0.7678571428571428,0.03799999999999999
S,0.8035714285714286,0.038799999999999994
S,0.8392857142857142,0.04939999999999999
S,0.875,0.06319999999999999
S,0.9107142857142856,0.05879999999999999
S,0.9464285714285714,0.05819999999999999
S,0.9821428571428571,0.05099999999999999
