sample_id,lag_samples,lag_log_energy,mutual_information
C,66,0.182299228505876,1.0762536221474344
C,67,0.1850613380286923,1.0760966487064492
C,68,0.1878234475515086,1.07763872618394
C,69,0.1905855570743249,1.0624763397969126
C,70,0.1933476665971412,1.0808795162317058
C,71,0.1961097761199575,1.0707173138119659
C,72,0.1988718856427738,1.0756636206048054
C,84,0.23201719991656944,1.072061361093513
C,95,0.26240040466754877,1.0710056395934613
C,107,0.2955457189413444,1.0625729970519586
C,119,0.32869103321514004,1.049383987114613
C,131,0.3618363474889357,1.0684691478934125
C,142,0.392219552239915,1.0636302936552573
C,154,0.42536486651371064,1.0454343809277544
C,166,0.45851018078750627,1.036439957661809
C,178,0.4916554950613019,1.0474012388608616
C,189,0.5220386998122812,1.0464825603716639
C,201,0.5551840140860769,1.021258987555588
C,213,0.5883293283598725,1.0295338830883978
C,225,0.6214746426336681,1.0432853788150984
C,236,0.6518578473846475,1.0052610465804301
C,248,0.6850031616584431,1.0020151086089903
C,260,0.7181484759322387,1.0189342012558589
C,272,0.7512937902060344,1.0129956517318375
C,283,0.7816769949570137,1.0199051266158419
C,295,0.8148223092308093,1.019126466842386
C,307,0.847967623504605,1.013227315402366
C,319,0.8811129377784006,1.0173146947167613
C,330,0.9114961425293799,1.0277561767617813
C,342,0.9446414568031756,0.9996448961513824
C,354,0.9777867710769712,1.0059393048701057
C,366,1.0109320853507668,0.9836191331586059
C,377,1.0413152901017462,0.9769709478962199
C,389,1.0744606043755418,0.9759148018497621
C,401,1.1076059186493374,0.9491521085393968
C,413,1.140751232923133,0.977563355413543
C,424,1.1711344376741124,0.9649339380253075
C,436,1.204279751947908,0.9679137121228933
C,448,1.2374250662217037,0.949218178024374
C,460,1.2705703804954993,0.9525906776108721
C,471,1.3009535852464786,0.970385447159952
C,483,1.3340988995202743,0.9404603606686006
C,495,1.36724421379407,0.9283733744490315
C,507,1.4003895280678655,0.9366268801813051
C,518,1.4307727328188449,0.9013850592654791
C,530,1.4639180470926405,0.9125252697603772
C,542,1.4970633613664361,0.9233753768188526
C,554,1.5302086756402318,0.889415960601907
C,565,1.560591880391211,0.8979642458940038
C,577,1.5937371946650067,0.9069038622951844
C,589,1.6268825089388024,0.8933990499470328
C,601,1.660027823212598,0.9005016076380654
C,612,1.6904110279635773,0.88743893474276
C,624,1.723556342237373,0.8955856590471942
C,636,1.7567016565111686,0.8944078342336903
C,648,1.7898469707849642,0.8772104174487163
C,659,1.8202301755359436,0.8828068264863216
C,671,1.8533754898097392,0.8680535031256502
C,683,1.8865208040835348,0.8623058791357572
C,695,1.9196661183573305,0.8439080226662004
C,706,1.9500493231083098,0.8556573407472428
C,718,1.9831946373821054,0.8441733976142842
C,730,2.016339951655901,0.8398146856000714
C,742,2.0494852659296967,0.8293187901302224
C,753,2.079868470680676,0.8351512330744191
C,765,2.1130137849544717,0.8259226301428599
C,777,2.1461590992282673,0.8097985506354419
C,789,2.179304413502063,0.8038507862130553
C,800,2.2096876182530423,0.8137692960894292
C,812,2.242832932526838,0.7933519349701026
C,824,2.2759782468006335,0.7997255008859119
C,836,2.309123561074429,0.7813676842533139
C,847,2.3395067658254085,0.7716729095874415
C,859,2.372652080099204,0.7530152011719959
C,871,2.4057973943729998,0.7408563010635758
C,883,2.4389427086467954,0.7771119347531705
C,894,2.4693259133977747,0.7299026454228077
C,906,2.5024712276715704,0.7548627017018017
C,918,2.535616541945366,0.7464481171395452
C,930,2.5687618562191616,0.7401505476218544
C,941,2.599145060970141,0.7433066833504904
C,953,2.6322903752439366,0.7233002514424198
C,965,2.6654356895177322,0.6987609176094871
C,977,2.698581003791528,0.7270951608190952
C,988,2.728964208542507,0.688206983279601
C,1000,2.762109522816303,0.6707446674427553
D,25,0.06905273807040757,1.035675492352321
D,26,0.07181484759322387,1.0411513724339185
D,27,0.07457695711604018,1.0322259698116403
D,28,0.07733906663885648,1.0324012827510831
D,29,0.08010117616167278,1.038608425608495
D,30,0.08286328568448909,1.0400970183413332
D,31,0.08562539520730539,1.0252816772503568
D,32,0.08838750473012169,1.0037338361489958
D,33,0.091149614252938,1.0121293781793286
D,34,0.0939117237757543,1.0062384790640522
D,35,0.0966738332985706,1.0304364761849554
D,36,0.0994359428213869,1.0498622080862985
D,37,0.1021980523442032,1.0142195385288604
D,38,0.10496016186701951,1.0314583677534745
D,39,0.10772227138983581,1.0309558019682328
D,40,0.11048438091265211,1.0111922410482288
D,41,0.11324649043546842,1.0266809004489774
D,42,0.11600859995828472,1.0293626589032536
D,43,0.11877070948110102,1.0229727750564264
D,44,0.12153281900391733,1.0249514057106097
D,45,0.12429492852673363,1.031256595860075
D,46,0.12705703804954993,1.0305118501273842
D,47,0.12981914757236623,1.0347061016238621
D,48,0.13258125709518254,1.0326766570087136
D,49,0.13534336661799884,1.0047462727711798
D,60,0.16572657136897817,1.0412257769439481
D,72,0.1988718856427738,1.011347566872062
D,84,0.23201719991656944,1.0296887578116607
D,95,0.26240040466754877,1.0071147334604476
D,107,0.2955457189413444,1.0000859093768781
D,119,0.32869103321514004,1.0103342429714415
D,131,0.3618363474889357,1.0015838500925751
D,142,0.392219552239915,1.0162491718816078
D,154,0.42536486651371064,0.9970752576871034
D,166,0.45851018078750627,1.0103618785637591
D,178,0.4916554950613019,0.9828636687709817
D,189,0.5220386998122812,1.0023688435758613
D,201,0.5551840140860769,0.9822751350584848
