sample_id,observable,embedding_family,embedding_dimension,time_delay,status,error,nn_distance_entropy_bits,ks_metric,n_points_used,state_dim,nearest_distance_mean,nearest_distance_std,nearest_distance_min,nearest_distance_max,nn_cv,log10_nn_mean,nearest_index_gap_mean,nearest_index_gap_median,nearest_index_gap_min,adjacent_neighbor_fraction
B,transmission,Delay embedding,3,1,ok,,2.677408499973133,2.677408499973133,4998,3,0.10982572062737406,0.15606590787042574,0.0023678775223305547,3.4298932937464786,1.421032404590526,-0.9592959384027322,435.62444977991197,138.0,1.0,0.012805122048819529
B,transmission,Delay embedding,4,1,ok,,3.4882451955031826,3.4882451955031826,4997,4,0.20207121441321482,0.23518615344634064,0.005124807654808949,3.6895830841122352,1.163877567263219,-0.6944955484908961,393.0458274964979,118.0,1.0,0.013207924754852912
B,transmission,Delay embedding,5,1,ok,,4.0296070463102485,4.0296070463102485,4996,5,0.3025494172525498,0.318341472077628,0.010459126537668288,3.733713286184276,1.0521966129283393,-0.5192036792339874,371.31905524419534,113.0,1.0,0.017013610888710968
B,transmission,Delay embedding,6,1,ok,,4.285659913178281,4.285659913178281,4995,6,0.40239507395948954,0.39740874998902176,0.014776939325566849,4.120976122229932,0.9876083871445271,-0.3953473444652298,364.577977977978,110.0,1.0,0.023023023023023025
B,transmission,Delay embedding,7,1,ok,,4.546506149998505,4.546506149998505,4994,7,0.4971551498504428,0.466610204104864,0.01689843358524731,4.160533111135047,0.9385605363723858,-0.30350805752557064,353.15598718462155,106.0,1.0,0.026031237484981977
B,transmission,Delay embedding,8,1,ok,,4.664101694302223,4.664101694302223,4993,8,0.5900233885704179,0.5358691013557283,0.02512538891314475,4.429396340424335,0.9082167109564766,-0.22913077255076908,342.8946525135189,99.0,1.0,0.037252153014219906
B,transmission,Delay embedding,9,1,ok,,4.761179052709869,4.761179052709869,4992,9,0.6781345590875991,0.6038009947041687,0.029113724264017423,4.641957996700109,0.8903852290254409,-0.16868412254670082,333.11137820512823,91.0,1.0,0.04807692307692308
B,transmission,Delay embedding,10,1,ok,,4.875959197983758,4.875959197983758,4991,10,0.7629423257576692,0.6689248290901779,0.03267176721650374,4.727318235895009,0.8767698507551008,-0.11750829107718326,328.45301542776997,88.0,1.0,0.05830494890803446
C,Sigma_R_cm_inv,Delay embedding,2,1,ok,,1.397992191631206,1.397992191631206,4999,2,0.0445659364233448,0.11502710067334038,0.0002678339032859542,3.07825061215391,2.581054273786226,-1.3509969636014874,494.2866573314663,192.0,1.0,0.014602920584116823
C,Sigma_R_cm_inv,Delay embedding,3,1,ok,,2.8834625829096705,2.8834625829096705,4998,3,0.13033367112936461,0.21324687745042642,0.0017790401604574234,3.391503646407923,1.636161059540239,-0.8849433717238219,411.29611844737894,145.0,1.0,0.015806322529011603
C,Sigma_R_cm_inv,Delay embedding,4,1,ok,,3.501150921107289,3.501150921107289,4997,4,0.24085844046776617,0.3357004271448603,0.0027246461615175366,4.219712881133555,1.393766506548451,-0.618238129981555,365.41444866920153,117.0,1.0,0.018010806483890335
C,Sigma_R_cm_inv,Delay embedding,5,1,ok,,3.8171167615566266,3.8171167615566266,4996,5,0.3577612727738243,0.45362824380955813,0.007780818699228059,4.997383676799149,1.2679635229693313,-0.4464066730768618,336.8322658126501,108.5,1.0,0.0222177742193755
C,Sigma_R_cm_inv,Delay embedding,6,1,ok,,4.032189320299403,4.032189320299403,4995,6,0.4737337139015331,0.5669039742329348,0.008630903864445816,5.648777125780887,1.196672218160033,-0.32446570701614136,325.05525525525525,104.0,1.0,0.025225225225225224
C,Sigma_R_cm_inv,Delay embedding,7,1,ok,,4.275423262090727,4.275423262090727,4994,7,0.587334373989696,0.6740645430534908,0.009369844157730345,5.802009683485924,1.1476674495883818,-0.23111458114644304,320.21425710853026,101.0,1.0,0.02803364036844213
C,Sigma_R_cm_inv,Delay embedding,8,1,ok,,4.444469144748043,4.444469144748043,4993,8,0.6948882121717553,0.7709536969620562,0.010054623690770946,5.900386036811312,1.1094643475839971,-0.15808505546941581,312.9100741037452,92.0,1.0,0.0314440216302824
C,Sigma_R_cm_inv,Delay embedding,9,1,ok,,4.427464254431261,4.427464254431261,4992,9,0.7998237127952009,0.8644446380732972,0.012756411745817457,6.661481552176582,1.0807939602730459,-0.09700572425366129,312.49779647435895,90.5,1.0,0.03545673076923077
C,Sigma_R_cm_inv,Delay embedding,10,1,ok,,4.424980964162057,4.424980964162057,4991,10,0.8990252031104291,0.9518621599886108,0.017013248846813038,7.266022745964688,1.058771385601114,-0.04622813316243764,303.3848928070527,86.0,1.0,0.04488078541374474
C,transmission,Delay embedding,2,1,ok,,1.1300847136829484,1.1300847136829484,4999,2,0.034606212151109275,0.08234604793859279,0.00018168146056197533,3.228974079531524,2.37951635898914,-1.4608459341200168,495.99799959992,191.0,1.0,0.014402880576115223
C,transmission,Delay embedding,3,1,ok,,2.4821646608547754,2.4821646608547754,4998,3,0.10712287398063508,0.15240900489641374,0.0017679730969845297,3.9200235568199604,1.422749401986194,-0.9701177842258664,408.95558223289316,146.0,1.0,0.015806322529011603
C,transmission,Delay embedding,4,1,ok,,3.397401513713352,3.397401513713352,4997,4,0.20159269699485055,0.22417271230750788,0.0028472756880438613,3.954223106949841,1.1120081017226635,-0.6955252049241897,365.78567140284173,119.0,1.0,0.01821092655593356
C,transmission,Delay embedding,5,1,ok,,3.932367077334694,3.932367077334694,4996,5,0.30167816126244673,0.29545716046666926,0.007806640666593823,4.055608095387483,0.9793786836583612,-0.5204561276309843,337.5634507606085,110.0,1.0,0.0222177742193755
C,transmission,Delay embedding,6,1,ok,,4.3021831251899005,4.3021831251899005,4995,6,0.4012928493040443,0.36594486256542713,0.00866099096048514,4.090265546416171,0.9119147355831719,-0.3965385789530031,330.3737737737738,104.0,1.0,0.026026026026026026
C,transmission,Delay embedding,7,1,ok,,4.460705425794768,4.460705425794768,4994,7,0.4992197253806978,0.4351508118589975,0.009404038227054694,4.444851299772162,0.8716618950228501,-0.3017082629586883,322.83660392470966,102.0,1.0,0.02803364036844213
