Omega,K,rotation_mean_mod1,rotation_std_across_samples,rotation_mean_unwrapped,nearest_low_order_rational,nearest_rational_p,nearest_rational_q,rational_distance,low_order_lock_within_tolerance
0.5480769230769231,0.06041524333826525,0.5480976376700882,1.8063229705047989e-06,0.5480976376700882,0.5714285714285714,4,7,0.023330933758483163,False
0.5576923076923077,0.06041524333826525,0.5577118829641736,1.4762419169471588e-06,0.5577118829641736,0.5714285714285714,4,7,0.013716688464397775,False
0.5673076923076923,0.06041524333826525,0.567359425616782,1.9974466445112305e-06,0.567359425616782,0.5714285714285714,4,7,0.00406914581178941,True
0.576923076923077,0.06041524333826525,0.5769530633783096,1.4894782661208943e-07,0.5769530633783096,0.5714285714285714,4,7,0.005524491949738253,True
0.5865384615384616,0.06041524333826525,0.5865559661505292,1.4687583234904478e-07,0.5865559661505292,0.6,3,5,0.013444033849470793,False
0.5961538461538461,0.06041524333826525,0.596220884749648,1.1995971200617687e-06,0.596220884749648,0.6,3,5,0.0037791152503520165,True
0.6057692307692308,0.06041524333826525,0.6058211371181327,2.9689640942456083e-07,0.6058211371181327,0.6,3,5,0.005821137118132702,True
0.6153846153846154,0.06041524333826525,0.6154323011548217,3.082143372382471e-06,0.6154323011548217,0.625,5,8,0.009567698845178274,True
0.625,0.06041524333826525,0.6250573631000212,2.3161267050232874e-06,0.6250573631000212,0.625,5,8,5.7363100021246005e-05,True
0.6346153846153847,0.06041524333826525,0.6346744792253941,1.1524631970336922e-06,0.6346744792253941,0.625,5,8,0.009674479225394106,True
0.6442307692307693,0.06041524333826525,0.6443260906194339,2.066564762094695e-06,0.6443260906194339,0.625,5,8,0.01932609061943391,False
0.6538461538461539,0.06041524333826525,0.6539102836143078,3.168598516920841e-07,0.6539102836143078,0.6666666666666666,2,3,0.012756383052358822,False
0.6634615384615385,0.06041524333826525,0.6635221343935316,2.993470302085367e-07,0.6635221343935316,0.6666666666666666,2,3,0.003144532273135048,True
