subsample_index,phase_cycles,cross_sample_resultant_length
56,0.6417919148388346,0.7945079025542084
57,0.6518587471007535,0.8770883076576262
58,0.5209189462893438,0.5726867867606269
59,0.6159567506819489,0.9372295226569639
60,0.6329460201005508,0.7852268393912841
61,0.6794959968655607,0.9025721461831665
62,0.663193099668488,0.7713449028557047
63,0.7829492480626046,0.27860745340292137
64,0.8143635868657692,0.3894203263285902
65,0.6443125689371056,0.8874077619946902
66,0.686138138508347,0.3436247840229416
67,0.5901782884114524,0.8147993098914832
68,0.6664200777650887,0.7683782679772949
69,0.5709722755854338,0.7556139028159075
70,0.7062775104937784,0.61949984463478
71,0.7382321194607493,0.6354067991401224
72,0.8836531461605305,0.7890532422647304
73,0.6810657566208909,0.6599041303299917
74,0.7884511367175326,0.7001305284160797
75,0.6083429612500941,0.7333314585455707
76,0.6889265689789479,0.6843214712172957
77,0.7652778911724729,0.860449015828265
78,0.7900808743111881,0.9495673577943535
79,0.9232769740441497,0.8124732340374995
80,0.9193883466289421,0.7545192721905978
81,0.9726742502281976,0.6339185047382708
82,0.7289640858865876,0.9110943192658227
83,0.22969031649286759,0.6555903594059438
84,0.41235179033116875,0.8298197060209752
85,0.6109810247965457,0.5828796292660724
86,0.6131220008814176,0.3629681286792884
87,0.5090413409764567,0.6119868185860622
88,0.865408903898631,0.7140941798529838
89,0.552308814397856,0.6292584184651087
90,0.47092262214975245,0.3021712806811287
91,0.4005088139142799,0.23886065240484397
92,0.6254224898242826,0.7729356820946875
93,0.45848599723302835,0.3407178634079786
94,0.6430982361252777,0.8389605871145182
95,0.7620600022768474,0.4949866888667116
96,0.7253136088616765,0.8388907806254103
97,0.77570405598943,0.4367594612058723
98,0.756780489798867,0.301255160403526
99,0.6220791068175875,0.7637550288320064
100,0.7371743220947089,0.6694654385555624
101,0.8025836425416573,0.8802396190531269
102,0.8417417157922679,0.5481879381612047
103,0.7918051147755772,0.7189149242405131
104,0.6670315876535063,0.4012611978745603
105,0.7283195917571935,0.9068536520873709
106,0.7388608364270375,0.9192592139313384
107,0.7528754158487928,0.8232246336091068
108,0.7101070830145377,0.7247361049796867
109,0.8899163478521118,0.7856521198201633
110,0.7173942735621043,0.6857888172531091
111,0.8089205072223626,0.9284385757923255
112,0.9040398067895747,0.7517894714357434
113,0.8392337423236638,0.9210006915508583
114,0.9334725141610629,0.7795997104564485
115,0.0378765975936505,0.5415910324650253
116,0.8205417216666625,0.30467202073512006
117,0.9498174448167684,0.7845678938392674
118,0.22548314299481378,0.5111672121561395
119,0.737769880162684,0.7212681316266226
120,0.87758200606807,0.9199469768802147
121,0.9801526257674015,0.8099278662346776
122,0.9254256309701097,0.6388930184368774
123,0.91701537085638,0.44662467083925417
124,0.14551157550581284,0.8926894181536459
125,0.8260682798840675,0.47385393878385723
126,0.3468952438134855,0.707149941913479
127,0.7160816112150663,0.30974754617531797
128,0.1341644398907441,0.47482334972128076
129,0.9333202725869456,0.2368476081981438
130,0.24286630562094244,0.44176430158730096
131,0.27740544500644265,0.5834219567574704
132,0.5486642953246521,0.6223447067713038
133,0.651922388034031,0.23974600866527634
134,0.3961879147136881,0.7472673642218318
135,0.25903346140311645,0.915622769234398
136,0.7324757312186424,0.959223113904649
137,0.6528900998145605,0.7477554483045764
138,0.6287024370839662,0.6466376231823165
139,0.533567574988671,0.8418294931554233
140,0.6550066917632613,0.7105896665439355
141,0.6864280116773369,0.7029684611179673
142,0.8037490271441106,0.8197254781256159
143,0.6135220482203155,0.8711969100433318
144,0.7352194829323091,0.5094632512009226
145,0.7874573776034373,0.9250845433955082
146,0.679070106333689,0.4933757111648588
147,0.6205271815797848,0.9072022533232429
148,0.6712384873768189,0.6586351207662414
149,0.6497178033994477,0.6510278359876013
150,0.6587627391898188,0.870432532054435
151,0.8587134171080177,0.8608268707279613
152,0.7016077016533013,0.5759616196881548
153,0.5649734499934882,0.800145393161963
154,0.6952196031926028,0.7353526053702757
155,0.6635368506306063,0.6079182599003324
156,0.6495451555132203,0.8324118545072335
157,0.6804593397289425,0.9427751409955368
158,0.7402945628030304,0.8612762756548109
159,0.738924206760528,0.8038335389309071
160,0.7311540685313647,0.9126032626876163
161,0.7846636498735896,0.903247026752412
162,0.7794295255204864,0.8903658127687183
163,0.8095820730918128,0.884879087454527
164,0.8345117106405635,0.9658400821560482
165,0.7953105466509649,0.8555709147000963
166,0.8135324052263042,0.9440056806638322
167,0.8040558013753764,0.8824793028100912
168,0.7855971591738322,0.8277776775219063
169,0.8161557148325939,0.9674307161346117
170,0.8047041438524755,0.9328534459416155
171,0.8953356807730527,0.9378576914219666
172,0.8505606856072222,0.9479534626140358
173,0.7996958211390695,0.9021459466301558
174,0.8424776798009459,0.9868630277155962
175,0.918939393170825,0.8907139662907666
176,0.8005172428415158,0.7585883017724705
177,0.7895818552363844,0.947975628916923
178,0.9302190524945109,0.9257192279433828
179,0.8837508282090002,0.870508819370851
180,0.873450847130279,0.9647565850390852
181,0.9050846549481265,0.9388147344107075
182,0.8950566484970552,0.9291307902639038
183,0.906842038861531,0.9947072275059243
184,0.9179817303668087,0.9860683073155835
185,0.992966036652908,0.9728038038392902
186,0.9395686246207735,0.9582946279597248
187,0.9835025544368856,0.9865026236348533
188,0.03104530183297655,0.9526758805604774
189,0.9819977029325891,0.9629748816495337
190,0.1051609043230952,0.88750197754543
