K,final_state_bin_center,avg_probability,avg_probability_after_extra_iterations
0.966643893412244,0.6607142857142856,0.022412698412698398,0.0038095238095238082
0.966643893412244,0.6964285714285714,0.039682539682539666,0.004380952380952379
0.966643893412244,0.7321428571428571,0.02425396825396824,0.0019047619047619041
0.966643893412244,0.7678571428571428,0.04158730158730157,0.006349206349206347
0.966643893412244,0.8035714285714286,0.045142857142857123,0.01009523809523809
0.966643893412244,0.8392857142857142,0.057460317460317434,0.07707936507936503
0.966643893412244,0.875,0.05161904761904759,0.08730158730158726
0.966643893412244,0.9107142857142856,0.06076190476190472,0.04507936507936506
0.966643893412244,0.9464285714285714,0.04355555555555554,0.009015873015873012
0.966643893412244,0.9821428571428571,0.07917460317460313,0.013841269841269835
1.0874743800887745,0.017857142857142856,0.01815873015873015,0.0021587301587301577
1.0874743800887745,0.05357142857142857,0.024825396825396813,0.0034285714285714267
1.0874743800887745,0.08928571428571427,0.03428571428571427,0.006730158730158726
1.0874743800887745,0.125,0.04203174603174601,0.004952380952380949
1.0874743800887745,0.1607142857142857,0.09371428571428568,0.009587301587301582
1.0874743800887745,0.1964285714285714,0.034349206349206324,0.004380952380952379
1.0874743800887745,0.23214285714285715,0.029142857142857123,0.008571428571428567
1.0874743800887745,0.26785714285714285,0.056380952380952344,0.017333333333333326
1.0874743800887745,0.30357142857142855,0.037777777777777764,0.23384126984126974
1.0874743800887745,0.33928571428571425,0.033269841269841255,0.31720634920634905
1.0874743800887745,0.375,0.01212698412698412,0.0013333333333333329
1.0874743800887745,0.4107142857142857,0.03695238095238093,0.004507936507936506
1.0874743800887745,0.4464285714285714,0.022666666666666654,0.0033650793650793634
1.0874743800887745,0.4821428571428571,0.02907936507936507,0.029587301587301575
1.0874743800887745,0.5178571428571428,0.04647619047619045,0.08653968253968249
1.0874743800887745,0.5535714285714286,0.011428571428571423,0.005269841269841267
1.0874743800887745,0.5892857142857142,0.00952380952380952,0.0006349206349206346
1.0874743800887745,0.625,0.0217142857142857,0.002285714285714285
1.0874743800887745,0.6607142857142856,0.026793650793650776,0.002603174603174602
1.0874743800887745,0.6964285714285714,0.02609523809523808,0.0026666666666666653
1.0874743800887745,0.7321428571428571,0.031682539682539666,0.0026666666666666657
1.0874743800887745,0.7678571428571428,0.0479365079365079,0.003492063492063489
1.0874743800887745,0.8035714285714286,0.05403174603174601,0.02330158730158729
