speed_mode,a,b_cycles_per_model_unit,drive_omega_rad_per_model_unit,mean_sync,std_sync,drive_lock,collective_drive_lock,frequency_error,sync_gain_vs_no_drive,sync_variability_change_vs_no_drive,drive_lock_gain_vs_no_drive,frequency_error_improvement_vs_no_drive
fast,0.397325941853198,0.6838180616771029,4.296555597913597,0.3455366425140888,0.14591480754561137,0.1453735872134567,0.3554484631706642,2.0044886805074675,-0.028064343855182694,-0.003790231357280155,0.08279831737712215,0.06658189591998198
fast,0.397325941853198,0.723340803967465,4.544884311571845,0.33028152761967033,0.16072605851036742,0.18620982788298984,0.3037253067677943,1.7400791509064413,-0.043319458749601136,0.011021019607475896,0.06351909573443021,0.08266271186275986
fast,0.397325941853198,0.7628635462578272,4.793213025230094,0.3629125645548079,0.17335930376755315,0.3057604177774693,0.6167756873183534,1.4851500791762065,-0.010688421814463556,0.023654264864661628,0.2265437843919047,0.08926306993474586
fast,0.397325941853198,0.8023862885481894,5.041541738888343,0.4931589038875387,0.16646076425828304,0.5431649141601704,0.8974108747273879,1.1245179536132979,0.11955791751826722,0.01675572535539152,0.2705138482878786,0.20156648183940562
fast,0.397325941853198,0.8419090308385515,5.289870452546592,0.5185222680611343,0.16029197601504058,0.5793614461285527,0.8846858603265739,0.9672749420891638,0.14492128169186286,0.010586937112149059,0.13189354347033821,0.11481975989931725
fast,0.397325941853198,0.8814317731289136,5.538199166204841,0.4937732004201285,0.17663315781101607,0.6270903795663059,0.8588984863068894,0.7890794818555891,0.12017221405085704,0.02692811890812455,0.20695002214562186,0.19807049738860472
fast,0.397325941853198,0.9209545154192758,5.7865278798630895,0.47331676390962696,0.11698067346378632,0.7495915862144877,0.9392564323955901,0.6241554401252272,0.09971577754035549,-0.0327243654391052,0.5664699480363206,0.3354024598236056
fast,0.397325941853198,0.9604772577096379,6.034856593521337,0.36085081584578527,0.13317905433306207,0.6580993407713536,0.8168475072821602,0.6134293264867232,-0.012750170523486204,-0.016525984569829455,0.4013832557127891,0.3185364941667487
fast,0.397325941853198,1.0,6.283185307179586,0.3975403336222227,0.15799881446771036,0.6026594024739058,0.8227965615819353,0.6784609653219658,0.023939347252951215,0.008293775564818834,0.3059703899282694,0.22845437750558462
fast,0.397325941853198,1.0395227422903621,6.531514020837835,0.41775079236150464,0.20533065581483084,0.5178899234756791,0.7571234303898139,0.7803317704886292,0.04414980599223317,0.05562561691193932,0.21811329865281848,0.1911729939768717
fast,0.397325941853198,1.0790454845807242,6.779842734496083,0.4085985731865303,0.22207090623610082,0.47753951892786645,0.6362123057257254,0.8774775594745785,0.03499758681725884,0.0723658673332093,0.26346782477294206,0.18669153583116405
fast,0.397325941853198,1.1185682268710866,7.028171448154334,0.39050532801468224,0.14335230368125385,0.2738630673712195,0.43271831440630726,1.0868389639401952,0.01690434164541077,-0.006352735221637679,0.11023524863701553,0.11529052784235327
fast,0.397325941853198,1.1580909691614485,7.276500161812581,0.3017152423110081,0.1426469505808766,0.21489647511194493,0.054947033058076744,1.2418730870378503,-0.07188574405826337,-0.007058088322014933,0.12035718127615463,0.09821680122150189
fast,0.397325941853198,1.1976137114518108,7.52482887547083,0.31186331586028937,0.14308197518512925,0.255357645402139,0.04878064812622421,1.3569842432694028,-0.0617376705089821,-0.006623063717762279,0.13048732561851104,0.12106604146675504
fast,0.397325941853198,1.2371364537421727,7.773157589129077,0.35667018824378954,0.16970882032536017,0.26810183473302784,0.22351106406345905,1.505240807314752,-0.016930798125481927,0.02000378142246864,0.10284776051527456,0.11076987389820969
fast,0.397325941853198,1.276659196032535,8.021486302787327,0.3400335523171884,0.14228634586364408,0.3228391456006564,0.3070128211468822,1.6275252813361756,-0.03356743405208307,-0.007418693039247443,0.12582681302153417,0.14360448522020075
fast,0.397325941853198,1.3161819383228972,8.269815016445577,0.3694360120262713,0.17604516237111673,0.3308078251776547,0.4703726318021169,1.8126019028523541,-0.004164974343000172,0.0263401234682252,0.1818039482504775,0.1516724187715497
fast,0.397325941853198,1.3557046806132593,8.518143730103825,0.3710574099794798,0.1543364131196182,0.23996072304665442,0.3216608938324941,2.082551558883258,-0.0025435763897916908,0.004631374216726686,0.0967316334127831,0.08066238618676724
