curve,observable,embedding_dimension,Hraw,Hth,sensitivity,adj,n_points
T__transmission,transmission,5,4.203322482146824,4.214201103373692,0.016654559864300644,0.016304347826086956,3496
T__transmission,transmission,6,4.458622669602833,4.477018746306562,0.025047088058842704,0.020028612303290415,3495
T__transmission,transmission,7,4.649249617337699,4.67056917444712,0.03412516106600805,0.02375500858614768,3494
T__transmission,transmission,8,4.68062876008406,4.703664078017632,0.0218721624734739,0.027769825365015745,3493
T__transmission,transmission,9,4.833726584943959,4.855124671049603,0.05305259721291122,0.03293241695303551,3492
T__transmission,transmission,10,4.905251976557468,4.91753487578998,0.07012805314443238,0.03752506445144658,3491
U__transmission,transmission,2,2.3293025886151453,2.334073523394185,0.007077011282035528,0.011431837667905115,3499
U__transmission,transmission,3,3.5423756738433925,3.5507173378319923,0.007517287236847636,0.011435105774728416,3498
U__transmission,transmission,4,3.99536712771917,4.006330187675511,0.01779342880341872,0.011152416356877323,3497
U__transmission,transmission,5,4.391941317104288,4.402467108095674,0.025607039098415108,0.013729977116704805,3496
U__transmission,transmission,6,4.617833507653876,4.630594508056169,0.037416404706615225,0.017739628040057225,3495
U__transmission,transmission,7,4.741977877168299,4.754340678661503,0.036961068011205356,0.024327418431597022,3494
U__transmission,transmission,8,4.929760245679014,4.944000582187223,0.029502943862022235,0.02834239908388205,3493
U__transmission,transmission,9,4.876462305932044,4.899977404842619,0.045654000370515924,0.027491408934707903,3492
U__transmission,transmission,10,4.929839134650454,4.947219449827458,0.07213190204895792,0.030077341735892296,3491
V__transmission,transmission,2,2.3273512083755596,2.336733188154155,0.023641449174323537,0.007716490425835953,3499
V__transmission,transmission,3,3.7388449815010554,3.7440104556754714,0.017659996098613018,0.0137221269296741,3498
V__transmission,transmission,4,4.159999910800062,4.17627362816761,0.4728193356176482,0.015441807263368601,3497
V__transmission,transmission,5,4.442341069300432,4.46201242857785,0.3445935453861919,0.02002288329519451,3496
V__transmission,transmission,6,4.320652130736556,4.321896093941555,0.026526529737685323,0.022031473533619457,3495
V__transmission,transmission,7,4.415260230275473,4.455531208076431,0.041551267810509884,0.02919290211791643,3494
V__transmission,transmission,8,4.603252012840965,4.439004925530626,0.057374229249498754,0.03721729172630976,3493
V__transmission,transmission,9,4.754277709102202,4.576309071865289,0.05741642746157449,0.0429553264604811,3492
V__transmission,transmission,10,4.89209438289504,4.656529290121858,0.06775458591498662,0.0495560011458035,3491
