Omega,K,proportion_fixed_point_locked
0.8823529411764706,0.9855976952438567,1.0
0.9019607843137255,0.9855976952438567,1.0
0.9215686274509803,0.9855976952438567,1.0
0.9411764705882353,0.9855976952438567,1.0
0.9607843137254902,0.9855976952438567,1.0
0.9803921568627451,0.9855976952438567,1.0
1.0,0.9855976952438567,1.0
0.0,1.231997119054821,1.0
0.0196078431372549,1.231997119054821,1.0
0.0392156862745098,1.231997119054821,1.0
0.058823529411764705,1.231997119054821,1.0
0.0784313725490196,1.231997119054821,1.0
0.09803921568627451,1.231997119054821,1.0
0.11764705882352941,1.231997119054821,1.0
0.13725490196078433,1.231997119054821,1.0
0.1568627450980392,1.231997119054821,1.0
0.1764705882352941,1.231997119054821,0.9988571428571429
0.19607843137254902,1.231997119054821,0.0005714285714285715
0.21568627450980393,1.231997119054821,0.0
0.23529411764705882,1.231997119054821,0.0
0.2549019607843137,1.231997119054821,0.0
0.27450980392156865,1.231997119054821,0.0
0.29411764705882354,1.231997119054821,0.0
0.3137254901960784,1.231997119054821,0.0
0.3333333333333333,1.231997119054821,0.0
0.3529411764705882,1.231997119054821,0.0
0.37254901960784315,1.231997119054821,0.0
0.39215686274509803,1.231997119054821,0.0
0.4117647058823529,1.231997119054821,0.0
0.43137254901960786,1.231997119054821,0.0
0.45098039215686275,1.231997119054821,0.0
0.47058823529411764,1.231997119054821,0.0
0.49019607843137253,1.231997119054821,0.0
0.5098039215686274,1.231997119054821,0.0
0.5294117647058824,1.231997119054821,0.0
0.5490196078431373,1.231997119054821,0.0
0.5686274509803921,1.231997119054821,0.0
0.5882352941176471,1.231997119054821,0.0
0.6078431372549019,1.231997119054821,0.0
0.6274509803921569,1.231997119054821,0.0
0.6470588235294118,1.231997119054821,0.0
0.6666666666666666,1.231997119054821,0.0
0.6862745098039216,1.231997119054821,0.0
0.7058823529411764,1.231997119054821,0.0
0.7254901960784313,1.231997119054821,0.0
0.7450980392156863,1.231997119054821,0.0
0.7647058823529411,1.231997119054821,0.0
0.7843137254901961,1.231997119054821,0.0
0.803921568627451,1.231997119054821,0.001142857142857143
0.8235294117647058,1.231997119054821,0.9971428571428571
0.8431372549019608,1.231997119054821,1.0
0.8627450980392157,1.231997119054821,1.0
0.8823529411764706,1.231997119054821,1.0
0.9019607843137255,1.231997119054821,1.0
0.9215686274509803,1.231997119054821,1.0
0.9411764705882353,1.231997119054821,1.0
0.9607843137254902,1.231997119054821,1.0
0.9803921568627451,1.231997119054821,1.0
1.0,1.231997119054821,1.0
0.0,1.478396542865785,1.0
0.0196078431372549,1.478396542865785,1.0
0.0392156862745098,1.478396542865785,1.0
0.058823529411764705,1.478396542865785,1.0
0.0784313725490196,1.478396542865785,1.0
0.09803921568627451,1.478396542865785,1.0
0.11764705882352941,1.478396542865785,1.0
0.13725490196078433,1.478396542865785,1.0
0.1568627450980392,1.478396542865785,1.0
0.1764705882352941,1.478396542865785,1.0
0.19607843137254902,1.478396542865785,1.0
0.21568627450980393,1.478396542865785,0.9994285714285714
0.23529411764705882,1.478396542865785,0.011428571428571429
0.2549019607843137,1.478396542865785,0.0
0.27450980392156865,1.478396542865785,0.0
0.29411764705882354,1.478396542865785,0.0
0.3137254901960784,1.478396542865785,0.0
0.3333333333333333,1.478396542865785,0.0
0.3529411764705882,1.478396542865785,0.0
0.37254901960784315,1.478396542865785,0.0
0.39215686274509803,1.478396542865785,0.0
0.4117647058823529,1.478396542865785,0.0
0.43137254901960786,1.478396542865785,0.0
0.45098039215686275,1.478396542865785,0.0
0.47058823529411764,1.478396542865785,0.0
