source_file,line_number,text
VESUVIO00044787_ICPdebug.txt,54,2021-05-10T14:25:40 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044787_ICPdebug.txt,101,2021-05-10T14:32:20 1 DAQ periods of size 1936270 words
VESUVIO00044788_ICPdebug.txt,54,2021-05-10T14:33:26 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044788_ICPdebug.txt,101,2021-05-10T14:40:07 1 DAQ periods of size 1936270 words
VESUVIO00044789_ICPdebug.txt,54,2021-05-10T14:41:13 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044789_ICPdebug.txt,101,2021-05-10T14:47:53 1 DAQ periods of size 1936270 words
VESUVIO00044790_ICPdebug.txt,54,2021-05-10T14:49:00 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044790_ICPdebug.txt,101,2021-05-10T14:55:40 1 DAQ periods of size 1936270 words
VESUVIO00044791_ICPdebug.txt,159,2021-05-10T16:24:10 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044791_ICPdebug.txt,206,2021-05-10T16:25:35 1 DAQ periods of size 1936270 words
VESUVIO00044792_ICPdebug.txt,54,2021-05-10T17:40:36 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044792_ICPdebug.txt,101,2021-05-10T18:40:22 1 DAQ periods of size 1936270 words
VESUVIO00044793_ICPdebug.txt,52,2021-05-10T18:40:30 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044793_ICPdebug.txt,99,2021-05-10T19:40:15 1 DAQ periods of size 1936270 words
VESUVIO00044794_ICPdebug.txt,52,2021-05-10T19:40:23 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044794_ICPdebug.txt,99,2021-05-10T20:40:10 1 DAQ periods of size 1936270 words
VESUVIO00044795_ICPdebug.txt,52,2021-05-10T20:40:18 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044795_ICPdebug.txt,99,2021-05-10T21:40:04 1 DAQ periods of size 1936270 words
VESUVIO00044796_ICPdebug.txt,52,2021-05-10T21:40:12 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044796_ICPdebug.txt,99,2021-05-10T22:39:55 1 DAQ periods of size 1936270 words
VESUVIO00044797_ICPdebug.txt,52,2021-05-10T22:40:03 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044797_ICPdebug.txt,99,2021-05-10T23:39:47 1 DAQ periods of size 1936270 words
VESUVIO00044798_ICPdebug.txt,54,2021-05-11T09:53:40 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044798_ICPdebug.txt,101,2021-05-11T10:53:28 1 DAQ periods of size 1936270 words
VESUVIO00045130_ICPdebug.txt,52,2021-05-25T10:11:32 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00045130_ICPdebug.txt,353,2021-05-25T11:02:02 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00045130_ICPdebug.txt,556,2021-05-25T11:33:48 6 DAQ periods of size 1936270 words
VESUVIO00045131_ICPdebug.txt,52,2021-05-25T11:33:58 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00045131_ICPdebug.txt,255,2021-05-25T12:19:12 6 DAQ periods of size 1936270 words
VESUVIO00045132_ICPdebug.txt,52,2021-05-25T12:19:22 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00045132_ICPdebug.txt,255,2021-05-25T12:52:23 6 DAQ periods of size 1936270 words
VESUVIO00045133_ICPdebug.txt,52,2021-05-25T12:52:34 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00045133_ICPdebug.txt,255,2021-05-25T13:25:34 6 DAQ periods of size 1936270 words
VESUVIO00045134_ICPdebug.txt,52,2021-05-25T13:25:44 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00045134_ICPdebug.txt,171,2021-05-25T13:41:03 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00045134_ICPdebug.txt,374,2021-05-25T14:12:47 6 DAQ periods of size 1936270 words
VESUVIO00045135_ICPdebug.txt,52,2021-05-25T14:12:57 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00045135_ICPdebug.txt,255,2021-05-25T14:50:01 6 DAQ periods of size 1936270 words
