run_number,extension,title,normalized_title,sample_name,start_time,end_time,proton_charge,good_frames,source_file,size_bytes
44726,.nxs,Concrete sample 1 (117.77g) in tank with GEM,concrete sample 1 (117.77g) in tank with gem,,2021-05-08T19:04:45,2021-05-08T19:15:21,30.064250946044922,25440.0,2000209/VESUVIO00044726.nxs,1845080
44726,.raw,,,,,,,,2000209/VESUVIO00044726.raw,2287104
44726,.txt,,,,,,,,2000209/VESUVIO00044726_ICPevent.txt,284
44726,.txt,,,,,,,,2000209/VESUVIO00044726_ICPdebug.txt,8013
44726,.txt,,,,,,,,2000209/VESUVIO00044726_ICPputlog.txt,353
44726,.txt,,,,,,,,2000209/VESUVIO00044726_ICPalarm.txt,0
44727,.log,,,,,,,,2000209/VESUVIO00044727.log,2596
44727,.nxs,Concrete sample 1 (117.77g) in tank with GEM,concrete sample 1 (117.77g) in tank with gem,,2021-05-08T19:15:29,2021-05-08T19:26:04,30.05891227722168,25399.0,2000209/VESUVIO00044727.nxs,1844640
44727,.raw,,,,,,,,2000209/VESUVIO00044727.raw,2284032
44727,.txt,,,,,,,,2000209/VESUVIO00044727_ICPevent.txt,284
44727,.txt,,,,,,,,2000209/VESUVIO00044727_ICPputlog.txt,353
44727,.txt,,,,,,,,2000209/VESUVIO00044727_ICPalarm.txt,0
44727,.txt,,,,,,,,2000209/VESUVIO00044727_ICPdebug.txt,8033
44728,.log,,,,,,,,2000209/VESUVIO00044728.log,2509
44728,.nxs,Concrete sample 1 (117.77g) in tank with GEM,concrete sample 1 (117.77g) in tank with gem,,2021-05-08T19:26:13,2021-05-08T19:36:48,30.065717697143555,25405.0,2000209/VESUVIO00044728.nxs,3134727
44728,.raw,,,,,,,,2000209/VESUVIO00044728.raw,2608128
44728,.txt,,,,,,,,2000209/VESUVIO00044728_ICPalarm.txt,0
44728,.txt,,,,,,,,2000209/VESUVIO00044728_ICPevent.txt,284
44728,.txt,,,,,,,,2000209/VESUVIO00044728_ICPdebug.txt,8096
44728,.txt,,,,,,,,2000209/VESUVIO00044728_ICPputlog.txt,353
44729,.log,,,,,,,,2000209/VESUVIO00044729.log,13040
44729,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-08T19:47:31,2021-05-08T20:50:58,180.06297302246094,152224.0,2000209/VESUVIO00044729.nxs,2953708
44729,.raw,,,,,,,,2000209/VESUVIO00044729.raw,2144768
44729,.txt,,,,,,,,2000209/VESUVIO00044729_ICPalarm.txt,0
44729,.txt,,,,,,,,2000209/VESUVIO00044729_ICPevent.txt,288
44729,.txt,,,,,,,,2000209/VESUVIO00044729_ICPputlog.txt,507
44729,.txt,,,,,,,,2000209/VESUVIO00044729_ICPdebug.txt,8154
44730,.log,,,,,,,,2000209/VESUVIO00044730.log,8526
44730,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-08T20:52:05,2021-05-08T21:55:31,180.0625762939453,152249.0,2000209/VESUVIO00044730.nxs,2293455
44730,.raw,,,,,,,,2000209/VESUVIO00044730.raw,2141184
44730,.txt,,,,,,,,2000209/VESUVIO00044730_ICPevent.txt,288
44730,.txt,,,,,,,,2000209/VESUVIO00044730_ICPputlog.txt,353
44730,.txt,,,,,,,,2000209/VESUVIO00044730_ICPalarm.txt,0
44730,.txt,,,,,,,,2000209/VESUVIO00044730_ICPdebug.txt,8257
44731,.log,,,,,,,,2000209/VESUVIO00044731.log,9261
44731,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-08T21:56:38,2021-05-08T23:18:04,180.06793212890625,162312.0,2000209/VESUVIO00044731.nxs,2310947
44731,.raw,,,,,,,,2000209/VESUVIO00044731.raw,2139136
44731,.txt,,,,,,,,2000209/VESUVIO00044731_ICPevent.txt,288
