curve,observable,ensemble_group,individual_MI_delay_samples,individual_MI_delay_coordinate,selection_method,common_delay_coordinate,applied_delay_samples,applied_delay_coordinate,relative_feedback_rms,roughness_ratio,variance_ratio,correlation_original_controlled
exfor_39_89_4_L0059_2,experimental_cross_section_barn,experimental_reaction_cross_sections,5,0.032421383271634685,first local minimum,0.06009713220776369,9,0.05835848988894243,0.031288176172469116,0.9196859905758872,0.9861259735045718,0.9984252301793118
exfor_3_7_201_M0249_5,experimental_cross_section_barn,experimental_reaction_cross_sections,2,0.03804275464981899,first local minimum,0.06009713220776369,3,0.05706413197472848,0.032307217436451846,0.9158645859533381,0.9538707323796846,0.9984804941887189
exfor_40_90_201_M0658_2,experimental_cross_section_barn,experimental_reaction_cross_sections,6,0.01616501499570333,first local minimum,0.06009713220776369,22,0.05927172165091221,0.039195034234861474,0.9007936933864041,0.9627000160672353,0.9975175301172233
exfor_40_96_107_M0894_6,experimental_cross_section_barn,experimental_reaction_cross_sections,8,0.08942267755379518,global minimum in allowed range,0.06009713220776369,5,0.05588917347112199,0.031265128398165275,0.96264750278459,0.9940182082672079,0.9987574261137325
exfor_46_110_4_M0839_5,experimental_cross_section_barn,experimental_reaction_cross_sections,3,0.04623794692210215,first local minimum,0.06009713220776369,4,0.061650595896136196,0.0335103881750094,0.8918571987360506,0.9773686537847662,0.9984710206006634
exfor_4_9_201_M0832_4,experimental_cross_section_barn,experimental_reaction_cross_sections,2,0.04254699211866786,first local minimum,0.06009713220776369,3,0.06382048817800179,0.0422545126447177,0.8683095534138592,0.9457522600191667,0.9975885362032176
exfor_50_116_2_M0791_4,experimental_cross_section_barn,experimental_reaction_cross_sections,4,0.06009713220776369,first local minimum,0.06009713220776369,4,0.06009713220776369,0.08443129566491257,0.8742234878839764,0.8581477475739274,0.9937876395214643
exfor_52_120_4_G4089_3,experimental_cross_section_barn,experimental_reaction_cross_sections,5,0.145316210428168,global minimum in allowed range,0.06009713220776369,2,0.0581264841712672,0.028816912283976613,0.9836363720211487,0.9841199979176953,0.9986754128890728
exfor_57_139_201_M0398_4,experimental_cross_section_barn,experimental_reaction_cross_sections,6,0.039959080999572905,first local minimum,0.06009713220776369,9,0.05993862149935936,0.02751608403184331,0.9321119816992156,0.988195915730928,0.9989849421447317
exfor_59_141_201_M0398_2,experimental_cross_section_barn,experimental_reaction_cross_sections,5,0.03528978948871164,first local minimum,0.06009713220776369,9,0.06352162107968096,0.03682860939685649,0.9406813478988901,0.9759250061194285,0.9982845712519665
exfor_60_142_201_L0025_2,experimental_cross_section_barn,experimental_reaction_cross_sections,13,0.14972903437618856,global minimum in allowed range,0.06009713220776369,5,0.05758809014468791,0.026237993695210075,0.9681914258558184,0.9948780663858087,0.9987963150642853
exfor_60_148_201_L0025_17,experimental_cross_section_barn,experimental_reaction_cross_sections,6,0.07614558865719756,first local minimum,0.06009713220776369,5,0.0634546572143313,0.024620577689843343,0.9695166885635692,0.9940582272649099,0.9992215962591703
exfor_62_150_201_L0033_8,experimental_cross_section_barn,experimental_reaction_cross_sections,2,0.020707736674441257,first local minimum,0.06009713220776369,6,0.06212321002332377,0.02207468495360999,0.955205953205131,0.9971086662896603,0.9992383036213976
exfor_64_152_201_M0817_6,experimental_cross_section_barn,experimental_reaction_cross_sections,8,0.1514841999750054,first local minimum,0.06009713220776369,3,0.05680657499062702,0.028616091304272454,0.9136150297071703,0.9808060872848345,0.9988139568042601
exfor_67_165_153_M1038_7,experimental_cross_section_barn,experimental_reaction_cross_sections,9,0.11342408409162852,first local minimum,0.06009713220776369,5,0.06301338005090473,0.01937774520378468,0.9160658954401895,0.8453198619500234,0.9967575580220108
exfor_72_178_1_M0073_7,experimental_cross_section_barn,experimental_reaction_cross_sections,4,0.07516832602067502,first local minimum,0.06009713220776369,3,0.05637624451550627,0.027334549931395884,0.9395771342648862,0.9865178218952391,0.9986383308077198
exfor_73_181_201_M0737_2,experimental_cross_section_barn,experimental_reaction_cross_sections,4,0.024894955224043613,first local minimum,0.06009713220776369,10,0.06223738806010903,0.03151437719650419,0.8968523285904331,0.9763840655923729,0.998186572644725
exfor_74_184_1_M0073_11,experimental_cross_section_barn,experimental_reaction_cross_sections,3,0.058236020349546,first local minimum,0.06009713220776369,3,0.058236020349546,0.02360362385269853,0.9419822541639339,0.9906257333493118,0.9985771706900297
exfor_76_189_17_L0046_11,experimental_cross_section_barn,experimental_reaction_cross_sections,6,0.08947285569175634,global minimum in allowed range,0.06009713220776369,4,0.05964857046117089,0.03886852891243138,0.9161592501193146,0.9828514436721134,0.9977165851552244
exfor_79_197_1_M0056_7,experimental_cross_section_barn,experimental_reaction_cross_sections,4,0.07459442395521165,first local minimum,0.06009713220776369,3,0.05594581796640874,0.029542753819626653,0.9386487389163312,0.9809943993841773,0.9986309516279943
exfor_7_14_4_L0234_2,experimental_cross_section_barn,experimental_reaction_cross_sections,11,0.0665910890337984,first local minimum,0.06009713220776369,10,0.060537353667089455,0.04236864836712583,0.9025901246058161,0.96251151311832,0.9983035113989762
exfor_82_208_201_M0399_4,experimental_cross_section_barn,experimental_reaction_cross_sections,3,0.026935842916163466,first local minimum,0.06009713220776369,7,0.06285030013771475,0.026383552603562514,0.9025974095936848,0.9880309053509676,0.9991333203367943
exfor_83_209_201_M0539_7,experimental_cross_section_barn,experimental_reaction_cross_sections,5,0.1886210101945629,global minimum in allowed range,0.06009713220776369,2,0.07544840407782516,0.03356462343066381,0.9425115378392219,0.9773925711212467,0.998395144587579
exfor_8_16_1_M0372_5,experimental_cross_section_barn,experimental_reaction_cross_sections,8,0.11950418676072161,first local minimum,0.06009713220776369,4,0.059752093380360805,0.038745512852876925,0.9170515643243713,0.9765877290420362,0.9987113916481162
exfor_90_232_18_M0432_3,experimental_cross_section_barn,experimental_reaction_cross_sections,3,0.044584367992341445,first local minimum,0.06009713220776369,4,0.05944582398978859,0.05658808057240878,0.9021199432753672,0.9067902027879605,0.992622158505441
exfor_92_234_18_M0634_3,experimental_cross_section_barn,experimental_reaction_cross_sections,8,0.08475847014439708,first local minimum,0.06009713220776369,6,0.06356885260829781,0.023528657646502336,0.9543369904801442,0.971821934171493,0.9998586564938063
exfor_92_235_1_M0603_3,experimental_cross_section_barn,experimental_reaction_cross_sections,8,0.17632288625090453,first local minimum,0.06009713220776369,3,0.0661210823440892,0.025490435704896574,0.9312623539355928,0.9855843378770768,0.9989745151925852
exfor_92_238_18_M0533_2,experimental_cross_section_barn,experimental_reaction_cross_sections,6,0.33326748713430554,first local minimum,0.06009713220776369,1,0.05554458118905092,0.019454952081673662,0.9896524544891278,0.9933498625786554,0.9996296819164833
exfor_96_245_18_M0764_6,experimental_cross_section_barn,experimental_reaction_cross_sections,11,0.14077064620241742,global minimum in allowed range,0.06009713220776369,5,0.06398665736473519,0.03508764798214329,0.9594063094212139,0.9307947283776385,0.9999585891723878
