source_proton_MeV,energy_low_MeV,energy_high_MeV,normalized_flux_density,absolute_error,below_6p5_MeV_constant_assumption,monoenergetic_peak_normalization_range_MeV,peak_to_total_flux_above_6p5_ratio,published_energy_low_MeV,bin_width_MeV,relative_bin_integral,sampling_probability
68,21.5,22.5,0.03334,0.00145,False,60.8-72.5,2.61,21.5,1.0,0.03334,0.012049024422946055
68,22.5,23.5,0.03383,0.00146,False,60.8-72.5,2.61,22.5,1.0,0.03383,0.012226109664914967
68,23.5,24.5,0.03528,0.00152,False,60.8-72.5,2.61,23.5,1.0,0.03528,0.012750137421761752
68,24.5,25.5,0.03624,0.00156,False,60.8-72.5,2.61,24.5,1.0,0.03624,0.013097079936639625
68,25.5,26.5,0.03669,0.00157,False,60.8-72.5,2.61,25.5,1.0,0.03669,0.013259709240488625
68,26.5,27.5,0.03841,0.00164,False,60.8-72.5,2.61,26.5,1.0,0.03841,0.01388131457964481
68,27.5,28.5,0.03806,0.00162,False,60.8-72.5,2.61,27.5,1.0,0.03806,0.013754825121095585
68,28.5,29.5,0.03927,0.00167,False,60.8-72.5,2.61,28.5,1.0,0.03927,0.014192117249222903
68,29.5,30.5,0.03845,0.00164,False,60.8-72.5,2.61,29.5,1.0,0.03845,0.013895770517764722
68,30.5,31.5,0.03875,0.00165,False,60.8-72.5,2.61,30.5,1.0,0.03875,0.014004190053664056
68,31.5,32.5,0.03857,0.00164,False,60.8-72.5,2.61,31.5,1.0,0.03857,0.013939138332124455
68,32.5,33.5,0.03878,0.00239,False,60.8-72.5,2.61,32.5,1.0,0.03878,0.014015032007253991
68,33.5,34.5,0.03762,0.00233,False,60.8-72.5,2.61,33.5,1.0,0.03762,0.013595809801776562
68,34.5,35.5,0.03702,0.00228,False,60.8-72.5,2.61,34.5,1.0,0.03702,0.013378970729977893
68,35.5,36.5,0.03716,0.0023,False,60.8-72.5,2.61,35.5,1.0,0.03716,0.013429566513397582
68,36.5,37.5,0.03656,0.00226,False,60.8-72.5,2.61,36.5,1.0,0.03656,0.013212727441598914
68,37.5,38.5,0.03615,0.00223,False,60.8-72.5,2.61,37.5,1.0,0.03615,0.013064554075869823
68,38.5,39.5,0.03399,0.0021,False,60.8-72.5,2.61,38.5,1.0,0.03399,0.012283933417394614
68,39.5,40.5,0.03345,0.00207,False,60.8-72.5,2.61,39.5,1.0,0.03345,0.012088778252775812
68,40.5,41.5,0.03324,0.00205,False,60.8-72.5,2.61,40.5,1.0,0.03324,0.012012884577646276
68,41.5,42.5,0.0334,0.00207,False,60.8-72.5,2.61,41.5,1.0,0.0334,0.012070708330125923
68,42.5,43.5,0.03137,0.00194,False,60.8-72.5,2.61,42.5,1.0,0.03137,0.011337069470540426
68,43.5,44.5,0.03211,0.00198,False,60.8-72.5,2.61,43.5,1.0,0.03211,0.011604504325758783
68,44.5,45.5,0.03103,0.00192,False,60.8-72.5,2.61,44.5,1.0,0.03103,0.011214193996521179
68,45.5,46.5,0.03102,0.00192,False,60.8-72.5,2.61,45.5,1.0,0.03102,0.011210580011991201
68,46.5,47.5,0.0316,0.00195,False,60.8-72.5,2.61,46.5,1.0,0.0316,0.011420191114729916
68,47.5,48.5,0.03086,0.0019,False,60.8-72.5,2.61,47.5,1.0,0.03086,0.011152756259511554
68,48.5,49.5,0.03003,0.00185,False,60.8-72.5,2.61,48.5,1.0,0.03003,0.010852795543523397
68,49.5,50.5,0.02856,0.00177,False,60.8-72.5,2.61,49.5,1.0,0.02856,0.010321539817616656
68,50.5,51.5,0.02804,0.00173,False,60.8-72.5,2.61,50.5,1.0,0.02804,0.01013361262205781
68,51.5,52.5,0.02656,0.00164,False,60.8-72.5,2.61,51.5,1.0,0.02656,0.009598742911621093
68,52.5,53.5,0.02505,0.00156,False,60.8-72.5,2.61,52.5,1.0,0.02505,0.009053031247594441
68,53.5,54.5,0.02391,0.00148,False,60.8-72.5,2.61,53.5,1.0,0.02391,0.00864103701117697
68,54.5,55.5,0.02177,0.00136,False,60.8-72.5,2.61,54.5,1.0,0.02177,0.007867644321761716
68,55.5,56.5,0.01959,0.00122,False,60.8-72.5,2.61,55.5,1.0,0.01959,0.007079795694226551
68,56.5,57.5,0.01604,0.00101,False,60.8-72.5,2.61,56.5,1.0,0.01604,0.0057968311860844245
68,57.5,58.5,0.01281,0.000838,False,60.8-72.5,2.61,57.5,1.0,0.01281,0.004629514182901589
68,58.5,59.5,0.01088,0.000742,False,60.8-72.5,2.61,58.5,1.0,0.01088,0.003932015168615869
68,59.5,60.5,0.00901,0.000627,False,60.8-72.5,2.61,59.5,1.0,0.00901,0.003256200061510017
68,60.5,61.5,0.007428,0.000527,False,60.8-72.5,2.61,60.5,1.0,0.007428,0.0026844677088675253
68,61.5,62.5,0.008095,0.000562,False,60.8-72.5,2.61,61.5,1.0,0.008095,0.002925520477017046
68,62.5,63.5,0.04701,0.0029,False,60.8-72.5,2.61,62.5,1.0,0.04701,0.01698934127542574
68,63.5,64.5,0.2104,0.0127,False,60.8-72.5,2.61,63.5,1.0,0.2104,0.07603823451073335
68,64.5,65.5,0.3614,0.0218,False,60.8-72.5,2.61,64.5,1.0,0.3614,0.13060940091339845
68,65.5,66.5,0.2765,0.0167,False,60.8-72.5,2.61,65.5,1.0,0.2765,0.09992667225388675
68,66.5,67.5,0.08202,0.00499,False,60.8-72.5,2.61,66.5,1.0,0.08202,0.029641901114878088
68,67.5,68.5,0.008896,0.000605,False,60.8-72.5,2.61,67.5,1.0,0.008896,0.0032150006378682695
68,68.5,69.5,0.001074,0.000112,False,60.8-72.5,2.61,68.5,1.0,0.001074,0.00038814193851961803
68,69.5,70.5,0.0004013,6.17e-05,False,60.8-72.5,2.61,69.5,1.0,0.0004013,0.00014502919918800997
68,70.5,71.5,0.0004973,6.87e-05,False,60.8-72.5,2.61,70.5,1.0,0.0004973,0.00017972345067579704
68,71.5,72.5,0.0001324,3.24e-05,False,60.8-72.5,2.61,71.5,1.0,0.0001324,4.784915517690635e-05
