detector,source_proton_MeV,shield_thickness_cm,off_axis_cm,energy_lower_MeV,energy_upper_MeV,lethargy_flux_n_cm2_per_uC,error_percent,geometry_id,source_normalization_id,additional_iron_collimator_cm,peak_source_intensity_x1e9_n_sr_uC,peak_source_intensity_n_sr_uC
BC501A,43,50,0,35,36,191.0,11.8,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,34,35,152.0,14.6,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,33,34,164.0,12.0,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,32,33,183.0,10.7,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,31,32,197.0,10.6,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,30,31,205.0,10.3,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,29,30,207.0,9.9,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,28,29,203.0,10.5,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,27,28,192.0,13.3,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,26,27,176.0,18.8,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,25,26,158.0,25.5,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,24,25,143.0,30.7,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,23,24,133.0,30.7,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,22,23,130.0,24.8,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,21,22,130.0,14.7,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,20,21,132.0,5.3,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,19,20,133.0,11.2,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,18,19,130.0,18.1,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,17,18,119.0,18.9,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,16,17,103.0,12.5,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,15,16,87.5,5.4,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,14,15,78.4,7.1,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,13,14,77.5,5.1,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,12,13,80.4,12.9,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,11,12,81.4,18.2,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
BC501A,43,50,0,10,11,78.4,18.4,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
