row_index,geometry_id,source_normalization_id,energy_MeV,edge_side,edge_probe_policy,edge_probe_offset_eV,mu_over_rho_cm2_g,run_id,mc_mu_over_rho_cm2_g,generated_event_count,geant4_evaluation_energy_MeV,geant4_evaluation_energy_MeV_mc_reported,geant4_evaluation_energy_abs_diff_MeV,residual,relative_residual,percent_difference,log_residual
25,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.01,none,none,0.0,20.45,P001_G4_EM_COEFFICIENTS,20.510617613795382,0,0.01,0.01,0.0,0.06061761379538311,0.0029641864936617657,0.29641864936617657,0.0029598019551336048
26,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.015,none,none,0.0,6.351,P001_G4_EM_COEFFICIENTS,6.326900917029489,0,0.015,0.0149999999999999,9.8879238130678e-17,-0.024099082970511,-0.003794533612110061,-0.3794533612110061,-0.0038017511186091827
27,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.02,none,none,0.0,2.806,P001_G4_EM_COEFFICIENTS,2.804502805525628,0,0.02,0.02,0.0,-0.0014971944743722432,-0.0005335689502395734,-0.053356895023957344,-0.0005337113488071458
28,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.03,none,none,0.0,0.9601,P001_G4_EM_COEFFICIENTS,0.9661547529253776,0,0.03,0.0299999999999999,1.0061396160665481e-16,0.0060547529253776045,0.006306377382957614,0.6306377382957614,0.006286575394047617
29,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.04,none,none,0.0,0.5058,P001_G4_EM_COEFFICIENTS,0.5079583266154,0,0.04,0.04,0.0,0.0021583266153999414,0.004267154241597354,0.42671542415973535,0.0042580757559726075
30,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.05,none,none,0.0,0.3412,P001_G4_EM_COEFFICIENTS,0.3414607469826877,0,0.05,0.05,0.0,0.00026074698268768737,0.0007642056936919325,0.07642056936919325,0.0007639138372035031
31,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.06,none,none,0.0,0.266,P001_G4_EM_COEFFICIENTS,0.2657876806075298,0,0.06,0.0599999999999999,9.71445146547012e-17,-0.00021231939247023934,-0.0007981932047753358,-0.07981932047753358,-0.000798511930585911
32,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.08,none,none,0.0,0.2014,P001_G4_EM_COEFFICIENTS,0.2012966280021282,0,0.08,0.08,0.0,-0.00010337199787180396,-0.0005132671195223632,-0.05132671195223632,-0.0005133988861799582
33,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.1,none,none,0.0,0.1738,P001_G4_EM_COEFFICIENTS,0.1736532589388106,0,0.1,0.1,0.0,-0.00014674106118942043,-0.000844309903276297,-0.0844309903276297,-0.000844666533634541
34,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.15,none,none,0.0,0.1436,P001_G4_EM_COEFFICIENTS,0.1433086886452663,0,0.15,0.1499999999999999,8.326672684688674e-17,-0.0002913113547337032,-0.0020286306039951473,-0.20286306039951474,-0.0020306910621361177
