source_file,extension,size_bytes,run_number,title,sample_name,start_time,end_time,proton_charge,good_frames
2000164/VESUVIO00042880.nxs,.nxs,15664839,42880,concrete 2.44g/cm3 1.02x24.75cm3 60.26g in tank,,2020-10-14T23:29:30,2020-10-15T00:31:24,[30.01487  30.004288 29.99197  29.999249 30.012405 30.047974],133151.0
2000164/VESUVIO00042766_ICPputlog.txt,.txt,18603,42766,,,,,,
2000164/VESUVIO00042875.nxs,.nxs,15775125,42875,concrete 2.96g/cm3 1.10x25.00cm3 71.56g in tank,,2020-10-14T14:57:56,2020-10-14T16:00:18,[30.00735  30.004852 30.000383 29.997334 30.010849 30.045593],133762.0
2000164/VESUVIO00042757_ICPdebug.txt,.txt,83672,42757,,,,,,
2000164/VESUVIO00042763_ICPevent.txt,.txt,5228,42763,,,,,,
2000164/VESUVIO00042768_ICPalarm.txt,.txt,0,42768,,,,,,
2000164/VESUVIO00042874.raw,.raw,12723200,42874,,,,,,
2000164/VESUVIO00042869_ICPalarm.txt,.txt,0,42869,,,,,,
2000164/VESUVIO00042870_ICPdebug.txt,.txt,21348,42870,,,,,,
2000164/VESUVIO00042885_ICPputlog.txt,.txt,18449,42885,,,,,,
2000164/VESUVIO00042760.raw,.raw,14828544,42760,,,,,,
2000164/VESUVIO00042761_ICPputlog.txt,.txt,45593,42761,,,,,,
2000164/VESUVIO00042870_ICPalarm.txt,.txt,0,42870,,,,,,
2000164/VESUVIO00042761_ICPalarm.txt,.txt,0,42761,,,,,,
2000164/VESUVIO00042885_ICPevent.txt,.txt,3401,42885,,,,,,
2000164/VESUVIO00042872_ICPdebug.txt,.txt,21415,42872,,,,,,
2000164/VESUVIO00042771_ICPdebug.txt,.txt,45712,42771,,,,,,
2000164/VESUVIO00042869.nxs,.nxs,14609875,42869,concrete 3.00g/cm3 1.15x4.95x4.975cm3 72.55g in tank,,2020-10-14T10:29:33,2020-10-14T11:00:12,[15.011864 15.003466 15.004141 14.997772 15.003281 15.046104],66405.0
2000164/VESUVIO00042762_ICPputlog.txt,.txt,45593,42762,,,,,,
2000164/VESUVIO00042876.log,.log,20359,42876,,,,,,
2000164/VESUVIO00042886.raw,.raw,12644864,42886,,,,,,
2000164/VESUVIO00042885.nxs,.nxs,15635197,42885,concrete 2.44g/cm3 1.02x24.75cm3 60.26g in tank,,2020-10-15T04:39:02,2020-10-15T05:40:33,[30.010643 29.993658 30.006788 29.999866 30.002327 30.05114 ],133197.0
2000164/VESUVIO00042870_ICPevent.txt,.txt,1826,42870,,,,,,
2000164/VESUVIO00042757_ICPevent.txt,.txt,8702,42757,,,,,,
2000164/VESUVIO00042765.raw,.raw,13504512,42765,,,,,,
2000164/VESUVIO00042773.log,.log,11220,42773,,,,,,
2000164/VESUVIO00042881.log,.log,9598,42881,,,,,,
2000164/VESUVIO00042883_ICPdebug.txt,.txt,34772,42883,,,,,,
2000164/VESUVIO00042887.log,.log,14239,42887,,,,,,
2000164/VESUVIO00042882.nxs,.nxs,15649075,42882,concrete 2.44g/cm3 1.02x24.75cm3 60.26g in tank,,2020-10-15T01:33:11,2020-10-15T02:35:33,[30.017708 29.98742  30.009727 30.004036 29.98391  30.065727],133212.0
2000164/VESUVIO00042771_ICPalarm.txt,.txt,0,42771,,,,,,
2000164/VESUVIO00042768.raw,.raw,12731904,42768,,,,,,
2000164/VESUVIO00042766_ICPdebug.txt,.txt,34833,42766,,,,,,
2000164/VESUVIO00042871_ICPdebug.txt,.txt,21377,42871,,,,,,
2000164/VESUVIO00042767_ICPalarm.txt,.txt,0,42767,,,,,,
2000164/VESUVIO00042877_ICPdebug.txt,.txt,34935,42877,,,,,,
2000164/VESUVIO00042872.nxs,.nxs,14494016,42872,concrete 3.00g/cm3 1.15x4.95x4.975cm3 72.55g in tank,,2020-10-14T12:02:04,2020-10-14T12:33:37,[15.016139 14.999774 15.005621 14.99139  15.001396 15.049538],66462.0
2000164/VESUVIO00042871_ICPalarm.txt,.txt,0,42871,,,,,,
2000164/VESUVIO00042769_ICPalarm.txt,.txt,0,42769,,,,,,
2000164/VESUVIO00042758.nxs,.nxs,17228953,42758,Cd foil square 3mm thick 5cm side in Empty tank,,2020-10-05T20:01:56,2020-10-05T22:34:24,[75.0119   75.006645 75.00593  74.983734 75.007645 75.04858 ],331762.0
2000164/VESUVIO00042769.nxs,.nxs,16012408,42769,concrete 2.60g/cm3 1.15x5.0x5.0cm3 64.6g in Empty tank,,2020-10-06T16:20:54,2020-10-06T17:22:25,[30.015186 29.992886 30.00668  29.998497 30.00327  30.05883 ],132684.0
2000164/VESUVIO00042768.log,.log,9472,42768,,,,,,
2000164/VESUVIO00042884.nxs,.nxs,15639652,42884,concrete 2.44g/cm3 1.02x24.75cm3 60.26g in tank,,2020-10-15T03:37:23,2020-10-15T04:38:52,[30.014465 30.004086 29.991283 30.004528 30.004658 30.056252],133159.0
2000164/VESUVIO00042880_ICPevent.txt,.txt,3401,42880,,,,,,
2000164/VESUVIO00042758_ICPputlog.txt,.txt,47468,42758,,,,,,
2000164/VESUVIO00042878_ICPevent.txt,.txt,3405,42878,,,,,,
2000164/VESUVIO00042878_ICPdebug.txt,.txt,34691,42878,,,,,,
2000164/VESUVIO00042876_ICPputlog.txt,.txt,20466,42876,,,,,,
2000164/VESUVIO00042772.raw,.raw,12697600,42772,,,,,,
2000164/VESUVIO00042757.log,.log,86953,42757,,,,,,
2000164/VESUVIO00042879.log,.log,9628,42879,,,,,,
2000164/VESUVIO00042875_ICPputlog.txt,.txt,20466,42875,,,,,,
2000164/VESUVIO00042873_ICPalarm.txt,.txt,0,42873,,,,,,
2000164/VESUVIO00042772.log,.log,11012,42772,,,,,,
2000164/VESUVIO00042879.raw,.raw,12692992,42879,,,,,,
2000164/VESUVIO00042762.raw,.raw,14821376,42762,,,,,,
2000164/VESUVIO00042764_ICPevent.txt,.txt,3401,42764,,,,,,
2000164/VESUVIO00042762.nxs,.nxs,17211296,42762,Cd foil square 3mm thick 5cm side in Empty tank,,2020-10-06T06:15:32,2020-10-06T08:48:59,[75.02969  74.9817   75.012924 75.004364 75.00853  75.0371  ],331782.0
2000164/VESUVIO00042770.log,.log,9473,42770,,,,,,
2000164/VESUVIO00042762_ICPdebug.txt,.txt,74721,42762,,,,,,
2000164/VESUVIO00042760.log,.log,21978,42760,,,,,,
2000164/VESUVIO00042882.raw,.raw,12666368,42882,,,,,,
2000164/VESUVIO00042761.log,.log,21981,42761,,,,,,
2000164/VESUVIO00042872_ICPputlog.txt,.txt,9401,42872,,,,,,
2000164/VESUVIO00042762_ICPevent.txt,.txt,8171,42762,,,,,,
2000164/VESUVIO00042761.raw,.raw,14832640,42761,,,,,,
2000164/VESUVIO00042872.raw,.raw,12033024,42872,,,,,,
2000164/VESUVIO00042757.nxs,.nxs,14030488,42757,Empty tank,,2020-10-05T17:11:10,2020-10-05T19:52:59,[75.01643  75.00026  74.99796  74.98991  75.015854 75.049416],337397.0
2000164/VESUVIO00042771.nxs,.nxs,15765284,42771,concrete 2.92g/cm3 1.10x4.95x4.95cm3 70.5g in Empty tank,,2020-10-06T18:45:39,2020-10-06T19:45:46,[30.01735  30.00761  29.98891  30.00394  30.007946 30.037766],132563.0
2000164/VESUVIO00042770.nxs,.nxs,15989349,42770,concrete 2.60g/cm3 1.15x5.0x5.0cm3 64.6g in Empty tank,,2020-10-06T17:22:35,2020-10-06T18:24:06,[30.025993 29.985134 30.016294 29.99717  30.00137  30.049706],132601.0
2000164/VESUVIO00042871.log,.log,6903,42871,,,,,,
2000164/VESUVIO00042772_ICPputlog.txt,.txt,18449,42772,,,,,,
2000164/VESUVIO00042885.raw,.raw,12645376,42885,,,,,,
2000164/VESUVIO00042882_ICPalarm.txt,.txt,0,42882,,,,,,
2000164/VESUVIO00042878.raw,.raw,12710912,42878,,,,,,
2000164/VESUVIO00042887_ICPalarm.txt,.txt,260,42887,,,,,,
2000164/VESUVIO00042761_ICPdebug.txt,.txt,74910,42761,,,,,,
2000164/VESUVIO00042762.log,.log,26073,42762,,,,,,
2000164/VESUVIO00042759.log,.log,21690,42759,,,,,,
2000164/VESUVIO00042773_ICPputlog.txt,.txt,18449,42773,,,,,,
2000164/VESUVIO00042884_ICPevent.txt,.txt,3401,42884,,,,,,
2000164/VESUVIO00042887.raw,.raw,12634112,42887,,,,,,
2000164/VESUVIO00042770_ICPdebug.txt,.txt,34751,42770,,,,,,
2000164/VESUVIO00042876_ICPalarm.txt,.txt,0,42876,,,,,,
2000164/VESUVIO00042877_ICPputlog.txt,.txt,18603,42877,,,,,,
2000164/VESUVIO00042757_ICPalarm.txt,.txt,130,42757,,,,,,
2000164/VESUVIO00042880.raw,.raw,12686848,42880,,,,,,
2000164/VESUVIO00042876_ICPevent.txt,.txt,3931,42876,,,,,,
2000164/VESUVIO00042764_ICPputlog.txt,.txt,18449,42764,,,,,,
2000164/VESUVIO00042770.raw,.raw,13246976,42770,,,,,,
2000164/VESUVIO00042761_ICPevent.txt,.txt,8171,42761,,,,,,
2000164/VESUVIO00042759_ICPalarm.txt,.txt,0,42759,,,,,,
2000164/VESUVIO00042759.nxs,.nxs,17202622,42759,Cd foil square 3mm thick 5cm side in Empty tank,,2020-10-05T22:34:34,2020-10-06T01:08:15,[75.00894 74.99629 75.00821 74.99971 74.99602 75.05401],331872.0
2000164/VESUVIO00042773.raw,.raw,12675584,42773,,,,,,
2000164/VESUVIO00042769_ICPputlog.txt,.txt,18603,42769,,,,,,
2000164/VESUVIO00042872_ICPalarm.txt,.txt,0,42872,,,,,,
2000164/VESUVIO00042884_ICPdebug.txt,.txt,34794,42884,,,,,,
