reaction,rows
"64-GD-154(G,X)0-NN-1,,SIG,,BRS",58
"60-ND-143(G,X)0-NN-1,,SIG",57
"48-CD-0(G,X)0-NN-1,,SIG",57
"32-GE-70(G,X)0-NN-1,,SIG",57
"50-SN-0(G,ABS),,SIG",57
"2-HE-3(G,ABS),,SIG",57
"62-SM-152(G,X)0-NN-1,,SIG,,BRS",57
"60-ND-146(G,X)0-NN-1,,SIG,,BRS",57
"63-EU-151(G,X)0-NN-1,,SIG,,BRS",57
"63-EU-153(G,X)0-NN-1,,SIG,,BRS",57
"67-HO-165(G,4N)67-HO-161,,SIG,,BRS",57
"67-HO-165(G,5N)67-HO-160-M1,,SIG,,BRS",57
"52-TE-0(G,X)0-NN-1,,SIG",56
"64-GD-152(G,X)0-NN-1,,SIG,,BRS",56
"64-GD-156(G,X)0-NN-1,,SIG,,BRS",56
"67-HO-165(G,6N)67-HO-159,,SIG,,BRS",56
"2-HE-4(G,P)1-H-3,,SIG,,BRS",55
"38-SR-0(G,2N),,SIG",55
"6-C-12(G,2A)2-HE-4,,SIG",54
"73-TA-181(G,ABS),,SIG",54
"12-MG-26(G,X)1-H-1,,SIG,,BRS",54
"72-HF-180(G,2N)72-HF-178,,SIG,,BRS",53
"75-RE-185(G,X)0-NN-1,,SIG,,BRS",53
"75-RE-187(G,X)0-NN-1,,SIG,,BRS",53
"76-OS-190(G,X)0-NN-1,,SIG,,BRS",53
"40-ZR-91(G,X)0-NN-1,,SIG,,BRS",53
"67-HO-165(G,3N)67-HO-162-M,,SIG,,BRS",53
"14-SI-0(G,X)0-NN-1,,SIG,,BRS",52
"83-BI-209(G,F),,SIG,,BRS",52
"64-GD-156(G,TOT),,SIG",52
"16-S-32(G,TOT),,SIG",52
"12-MG-26(G,2N)12-MG-24,,SIG",51
"60-ND-145(G,X)0-NN-1,,SIG",50
"50-SN-120(G,2N)50-SN-118,,SIG",50
"90-TH-232(G,X)0-NN-1,,SIG,,BRS",50
"4-BE-9(G,ABS),,SIG,,BRS",50
"16-S-0(G,ABS),,SIG",50
"82-PB-0(G,F),,SIG",50
"62-SM-152(G,2N)62-SM-150,,SIG",49
"1-H-3(G,2N)1-H-1,,SIG",49
"5-B-11(G,P)4-BE-10,,SIG,,BRS",49
"62-SM-154(G,TOT),,SIG",49
"22-TI-48(G,X)0-NN-1,,SIG,,BRS",49
"32-GE-76(G,A)30-ZN-72,,SIG,,BRS",49
"92-U-238(G,X)0-NN-1,,SIG,,BRS",48
"14-SI-0(G,ABS),,SIG,,BRS",48
"27-CO-59(G,ABS),,SIG,,BRS",48
"47-AG-0(G,ABS),,SIG,,BRS",48
"72-HF-178(G,2N)72-HF-176,,SIG,,BRS",48
"60-ND-150(G,X)0-NN-1,,SIG",47
"39-Y-89(G,N)39-Y-88,,SIG",47
"11-NA-23(G,ABS),,SIG,,BRS",47
"12-MG-0(G,ABS),,SIG,,BRS",47
"38-SR-0(G,EL)38-SR-0,,SIG",47
"70-YB-174(G,TOT),,SIG",47
"29-CU-65(G,A)27-CO-61,,SIG,,BRS",47
"40-ZR-90(G,N)40-ZR-89-M,,SIG,,BRS",46
"62-SM-150(G,2N)62-SM-148,,SIG",46
"62-SM-154(G,X)0-NN-1,,SIG",46
"46-PD-0(G,X)0-NN-1,,SIG",46
"13-AL-27(G,ABS),,SIG,,BRS",46
"6-C-12(G,P+A)3-LI-7,,SIG,,BRS",46
"7-N-14(G,N)7-N-13,PAR,SIG",46
"8-O-18(G,TOT),,SIG",45
"39-Y-89(G,2N)39-Y-87,,SIG",45
"62-SM-148(G,X)0-NN-1,,SIG",45
"76-OS-186(G,X)0-NN-1,,SIG",45
"6-C-0(G,ABS),,SIG,,BRS",45
"20-CA-0(G,ABS),,SIG,,BRS",45
"28-NI-0(G,ABS),,SIG,,BRS",45
"8-O-18(G,N)8-O-17,PAR,SIG,,BRS",45
"41-NB-93(G,A)39-Y-89-M,,SIG,,BRS",45
"8-O-16(G,P+A)5-B-11,,SIG",45
"50-SN-119(G,3N)50-SN-116,,SIG",44
"8-O-16(G,ABS),,SIG,,BRS",44
"29-CU-0(G,ABS),,SIG,,BRS",44
"68-ER-168(G,TOT),,SIG",44
"29-CU-63(G,N)29-CU-62,,SIG,,BRS",44
"29-CU-65(G,N)29-CU-64,,SIG,,BRS",44
"1-H-2(G,N)1-H-1,,SIG,,BRS",44
"20-CA-48(G,X)1-H-1,,SIG,,BRS",44
"47-AG-107(G,X)0-NN-1,,SIG,,BRS",44
"68-ER-170(G,A)66-DY-166,,SIG,,BRS",44
"34-SE-80(G,2N)34-SE-78,,SIG",43
"1-H-3(G,X)0-NN-1,,SIG",43
"94-PU-239(G,F),,SIG",43
"60-ND-150(G,EL)60-ND-150,,SIG",43
"3-LI-6(G,P)2-HE-5,PAR,SIG,,BRS",43
"94-PU-239(G,X)0-NN-1,,SIG",42
"16-S-32(G,N)16-S-31,PAR,SIG",42
"79-AU-197(G,N)79-AU-196-G+M1,,SIG",42
"79-AU-197(G,N)79-AU-196-M2,,SIG",42
"72-HF-176(G,2N)72-HF-174,,SIG,,BRS",42
"74-W-186(G,TOT),,SIG",42
"2-HE-3(G,N+P)1-H-1,,SIG,,BRS",42
"62-SM-152(G,N)62-SM-151,,SIG",41
"37-RB-0(G,2N),,SIG",41
"50-SN-118(G,2N)50-SN-116,,SIG",41
"34-SE-82(G,2N)34-SE-80,,SIG",41
"74-W-182(G,F),,SIG,,BRS",41
"50-SN-117(G,N)50-SN-116,,SIG",40
"60-ND-148(G,2N)60-ND-146,,SIG",40
"32-GE-76(G,2N)32-GE-74,,SIG",40
"92-U-235(G,X)0-NN-1,,SIG",40
"6-C-0(G,X)0-NN-1,,SIG,,BRS",40
"45-RH-103(G,INL)45-RH-103-M,,SIG,,BRS",40
"62-SM-144(G,X)0-NN-1,,SIG",39
"92-U-236(G,X)0-NN-1,,SIG",39
"20-CA-40(G,X)0-NN-1,,SIG",39
"13-AL-27(G,N)13-AL-26,,SIG",38
"11-NA-23(G,X)0-NN-1,,SIG,,BRS",38
"50-SN-116(G,2N)50-SN-114,,SIG",38
"42-MO-92(G,EL)42-MO-92,,SIG",38
"2-HE-4(G,D)1-H-2,,SIG",38
"40-ZR-96(G,A)38-SR-92,,SIG,,BRS",38
"17-CL-35(G,N)17-CL-34-G,,SIG,,BRS",37
"56-BA-0(G,2N),,SIG",37
"60-ND-0(G,2N),,SIG",37
"12-MG-0(G,X)0-NN-1,,SIG,,BRS",37
"74-W-184(G,TOT),,SIG",37
"29-CU-0(G,2N),,SIG,,BRS",37
"22-TI-50(G,P)21-SC-49,,SIG,,BRS",37
"57-LA-139(G,EL)57-LA-139,,SIG,,BRS",36
"10-NE-0(G,X)0-NN-1,,SIG",36
"92-U-233(G,X)0-NN-1,,SIG",36
"20-CA-0(G,X)0-NN-1,,SIG,,BRS",36
"18-AR-0(G,X)0-NN-1,,SIG,,BRS",36
"3-LI-7(G,N)3-LI-6,,SIG",35
"32-GE-74(G,2N)32-GE-72,,SIG",35
"3-LI-7(G,T)2-HE-4,,SIG",35
"34-SE-82(G,TOT),,SIG",35
"7-N-14(G,X)0-NN-1,,SIG,,BRS",35
"64-GD-160(G,N)64-GD-159,,SIG,,BRS",35
"50-SN-116(G,EL)50-SN-116,,SIG",35
"50-SN-124(G,EL)50-SN-124,,SIG",35
"93-NP-237(G,N)93-NP-236,,SIG",34
"48-CD-0(G,2N),,SIG",34
"34-SE-78(G,2N)34-SE-76,,SIG",34
"31-GA-0(G,X)0-NN-1,,SIG,,BRS",34
"20-CA-48(G,X)19-K-47,CUM,SIG,,BRS",34
"20-CA-48(G,ABS),,SIG,,BRS",34
"25-MN-55(G,TOT),,SIG",34
"34-SE-78(G,EL)34-SE-78,,SIG",33
"58-CE-136(G,N)58-CE-135,,SIG,,BRS",33
"53-I-129(G,N)53-I-128,,SIG",33
"60-ND-144(G,2N)60-ND-142,,SIG",33
"40-ZR-90(G,2N)40-ZR-88,,SIG",33
