source_file,size_bytes,data_rows,comment_rows,parse_errors,MF_values,MT_values,filename_projectile,filename_target,filename_reaction,filename_quantity,filename_distribution,filename_spectrum
c4/1/10037.005-n-Fe56-tot-sig-excfun-mon-Boschung_1971.c4,949,1,24,0,[3],[1],n,Fe56,tot,sig,excfun,mon
c4/1/10037.006-n-Ni58-el-sig-excfun-mon-Boschung_1971.c4,1109,2,25,0,[3],[2],n,Ni58,el,sig,excfun,mon
c4/1/10037.007-n-Ni58-tot-sig-excfun-mon-Boschung_1971.c4,1081,2,24,0,[3],[1],n,Ni58,tot,sig,excfun,mon
c4/1/10037.008-n-Ni60-el-sig-excfun-mon-Boschung_1971.c4,1109,2,25,0,[3],[2],n,Ni60,el,sig,excfun,mon
c4/1/10037.009-n-Ni60-tot-sig-excfun-mon-Boschung_1971.c4,1081,2,24,0,[3],[1],n,Ni60,tot,sig,excfun,mon
c4/1/10037.010-n-C12-el-sig-excfun-mon-Boschung_1971.c4,1234,3,25,0,[3],[2],n,C12,el,sig,excfun,mon
c4/1/10037.011-n-C12-tot-sig-excfun-mon-Boschung_1971.c4,1210,3,24,0,[3],[1],n,C12,tot,sig,excfun,mon
c4/1/10037.012-n-Fe54-inl-sig-lvldis-mon-Boschung_1971.c4,3716,14,55,0,[3],[51],n,Fe54,inl,sig,lvldis,mon
c4/1/10037.015-n-Fe56-inl-sig-lvldis-mon-Boschung_1971.c4,2943,12,40,0,[3],[51],n,Fe56,inl,sig,lvldis,mon
c4/1/10037.017-n-Ni58-inl-sig-lvldis-mon-Boschung_1971.c4,2415,8,40,0,[3],[51],n,Ni58,inl,sig,lvldis,mon
c4/1/10037.019-n-Ni60-inl-sig-lvldis-mon-Boschung_1971.c4,2415,8,40,0,[3],[51],n,Ni60,inl,sig,lvldis,mon
c4/1/10037.021-n-Fe54-el-adxc-angdisc-mon-Boschung_1971.c4,5812,30,55,0,[4],[2],n,Fe54,el,adxc,angdisc,mon
c4/1/10037.024-n-Fe56-el-adxc-angdisc-mon-Boschung_1971.c4,3856,19,40,0,[4],[2],n,Fe56,el,adxc,angdisc,mon
c4/1/10037.026-n-Ni58-el-adxc-angdisc-mon-Boschung_1971.c4,3989,20,40,0,[4],[2],n,Ni58,el,adxc,angdisc,mon
c4/1/10037.028-n-Ni60-el-adxc-angdisc-mon-Boschung_1971.c4,3989,20,40,0,[4],[2],n,Ni60,el,adxc,angdisc,mon
c4/1/10037.030-n-C12-el-adxl-angdisc-mon-Boschung_1971.c4,6056,32,55,0,[4],[2],n,C12,el,adxl,angdisc,mon
c4/1/10037.033-n-Fe54-inl-adxc-angdisc-mon-Boschung_1971.c4,5694,29,55,0,[4],[51],n,Fe54,inl,adxc,angdisc,mon
