run_id,off_axis_cm,energy_lower_MeV,energy_upper_MeV,mc_lethargy_flux_n_cm2_per_uC,mc_sigma_lethargy_flux_n_cm2_per_uC
CTRL_JAERI43_T000,0,0.19420947098168756,0.24856494979165553,139.10213083707103,4.4826772172425065
CTRL_JAERI43_T000,0,0.24856494979165553,0.31813347697525152,181.90234319238871,5.1253655687286521
CTRL_JAERI43_T000,0,0.31813347697525152,0.40717289085687541,233.95759403756958,5.8116101878463082
CTRL_JAERI43_T000,0,0.40717289085687541,0.52113271644669523,288.32604030657399,6.4504213481673895
CTRL_JAERI43_T000,0,0.52113271644669523,0.66698769552065773,376.67465575273934,7.3704897556410787
CTRL_JAERI43_T000,0,0.66698769552065773,0.85366466532611929,492.20757784533015,8.4219625734371242
CTRL_JAERI43_T000,0,0.85366466532611929,1.0925889123898864,601.81185747486666,9.3090265072404677
CTRL_JAERI43_T000,0,1.0925889123898864,1.398383440201634,796.43879989618222,10.70178711976318
CTRL_JAERI43_T000,0,1.398383440201634,1.7897639484120553,990.77749866636236,11.928193102723592
CTRL_JAERI43_T000,0,1.7897639484120553,2.2906842994176504,1298.3345880269219,13.639997389757275
CTRL_JAERI43_T000,0,2.2906842994176504,2.9318025789121802,1659.6825663777549,15.402290446861315
CTRL_JAERI43_T000,0,2.9318025789121802,3.7523574784623506,2125.7178077674471,17.402691052608343
CTRL_JAERI43_T000,0,3.7523574784623506,4.8025698413147113,2698.7549368699633,19.569069234689387
CTRL_JAERI43_T000,0,4.8025698413147113,6.1467163544762267,3496.9291266170703,22.212986262259538
CTRL_JAERI43_T000,0,6.1467163544762267,7.8670635078244775,4420.9017545795314,24.893862250470765
CTRL_JAERI43_T000,0,7.8670635078244775,10.068902592369156,5832.0220637053326,28.447846306860669
CTRL_JAERI43_T000,0,10.068902592369156,12.886993897250777,7421.4312169494169,31.906717928399946
CTRL_JAERI43_T000,0,12.886993897250777,16.493814512977924,10262.179717309438,37.129064460266655
CTRL_JAERI43_T000,0,16.493814512977924,21.110114535443095,12945.752079060996,41.283454508422174
CTRL_JAERI43_T000,0,21.110114535443095,27.018427747497871,15428.336159909344,44.641424635447486
CTRL_JAERI43_T000,0,27.018427747497871,34.580363679274583,11838.431119970477,39.644074648131173
CTRL_JAERI43_T000,0,34.580363679274583,44.258739382110754,60541.67190633445,71.336131445455464
CTRL_JAERI43_T000,0,44.258739382110754,56.645905458409132,19.086694389927871,1.6611746924366797
CTRL_JAERI43_T000,0,56.645905458409132,72.5,0,0
