run_id,off_axis_cm,energy_lower_MeV,energy_upper_MeV,response_value,response_sigma,controlled_geometry_family_id,source_normalization_id,source_proton_MeV,shield_thickness_cm,response_unit
CTRL_JAERI43_T000,0,4.403139400905784e-08,5.635493050774069e-08,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,5.635493050774069e-08,7.212758678226182e-08,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,7.212758678226182e-08,9.231470482104702e-08,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,9.231470482104702e-08,1.181518071847212e-07,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,1.181518071847212e-07,1.5122021532839074e-07,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,1.5122021532839074e-07,1.9354383203138961e-07,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,1.9354383203138961e-07,2.477130113592828e-07,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,2.477130113592828e-07,3.170430974350666e-07,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,3.170430974350666e-07,4.0577733514947484e-07,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,4.0577733514947484e-07,5.193465716588635e-07,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,5.193465716588635e-07,6.647016433149463e-07,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,6.647016433149463e-07,8.507387912744463e-07,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,8.507387912744463e-07,1.0888441427189009e-06,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,1.0888441427189009e-06,1.3935905818485126e-06,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
