energy_low_MeV,energy_high_MeV,energy_center_MeV,reference_photon_probability_mass,project_probability_mass_rebinned_to_reference,project_probability_mass_rebinned_normalized,reference_photon_probability_mass_normalized,reference_relative_uncertainty_percent
5.5,5.75,5.625,0.01787182288860042,0.024829955074440208,0.024829955074440208,0.017871822888600418,0.88
5.75,6.0,5.875,0.01698817280758186,0.02330923065609284,0.02330923065609284,0.016988172807581855,0.9
6.0,6.25,6.125,0.015662697686054015,0.02192145260952501,0.02192145260952501,0.015662697686054012,0.94
6.25,6.5,6.375,0.015066233881366487,0.020311844186130842,0.020311844186130842,0.015066233881366483,0.94
6.5,6.75,6.625,0.01427094880844978,0.01877255263539351,0.01877255263539351,0.014270948808449776,0.98
6.75,7.0,6.875,0.013144294955151114,0.01709473089224329,0.01709473089224329,0.01314429495515111,0.99
7.0,7.25,7.125,0.012569922402489048,0.015599637473841223,0.015599637473841223,0.012569922402489045,1.01
7.25,7.5,7.375,0.011774637329572343,0.01383318336437403,0.01383318336437403,0.01177463732957234,1.06
7.5,7.75,7.625,0.011089808516782956,0.012350168179841027,0.012350168179841027,0.011089808516782955,1.04
7.75,8.0,7.875,0.010935169752604708,0.010423922112564042,0.010423922112564042,0.010935169752604706,1.1
8.0,8.25,8.125,0.010360797199942642,0.008989036218402163,0.008989036218402163,0.01036079719994264,1.11
8.25,8.5,8.375,0.0095876033790514,0.008064038310174017,0.008064038310174017,0.009587603379051398,1.15
8.5,8.75,8.625,0.009234143346643976,0.007287000479358236,0.007287000479358236,0.009234143346643974,1.16
8.75,9.0,8.875,0.008858592062211087,0.00646610245579918,0.00646610245579918,0.008858592062211085,1.16
9.0,9.25,9.125,0.00832840201359995,0.005638355189765555,0.005638355189765555,0.008328402013599948,1.22
9.25,9.5,9.375,0.007798211964988811,0.0046069919156975616,0.0046069919156975616,0.0077982119649888096,1.23
9.5,9.75,9.625,0.007621481948785099,0.0035982603684949345,0.0035982603684949345,0.007621481948785098,1.23
9.75,10.0,9.875,0.0074889344366323145,0.0025690648302297723,0.0025690648302297723,0.007488934436632313,1.3
10.0,10.25,10.125,0.006848288127893858,0.0018255392221458613,0.0018255392221458613,0.006848288127893856,1.31
10.25,10.5,10.375,0.006539010599537361,0.0012514539575764027,0.0012514539575764027,0.0065390105995373595,1.39
10.5,10.75,10.625,0.0062297330711808645,0.0008972814101798656,0.0008972814101798656,0.006229733071180863,1.39
10.75,11.0,10.875,0.005920455542824368,0.0006606259570176918,0.0006606259570176918,0.005920455542824366,1.42
11.0,11.25,11.125,0.00561117801446787,0.00048201516078339563,0.00048201516078339563,0.005611178014467869,1.45
11.25,11.5,11.375,0.005390265494213229,0.00030016139924824077,0.00030016139924824077,0.0053902654942132285,1.45
11.5,11.75,11.625,0.0051693529739585894,0.00016908825074194193,0.00016908825074194193,0.005169352973958589,1.52
11.75,12.0,11.875,0.004904257949653021,6.632630243700795e-05,6.632630243700795e-05,0.00490425794965302,1.57
12.0,12.25,12.125,0.004639162925347452,3.3051974401752216e-05,3.3051974401752216e-05,0.004639162925347451,1.57
12.25,12.5,12.375,0.004550797917245595,2.564160815111724e-05,2.564160815111724e-05,0.004550797917245594,1.59
12.5,12.75,12.625,0.004440341657118275,2.0627133435711778e-05,2.0627133435711778e-05,0.004440341657118274,1.65
12.75,13.0,12.875,0.004108972876736314,1.4708549510534124e-05,1.4708549510534124e-05,0.0041089728767363136,1.7
13.0,13.25,13.125,0.0038659691044562097,1.0550868174373841e-05,1.0550868174373841e-05,0.003865969104456209,1.77
13.25,13.5,13.375,0.0036671478362270333,7.542433839045025e-06,7.542433839045025e-06,0.0036671478362270324,1.76
13.5,13.75,13.625,0.003556691576099713,5.544965735499669e-06,5.544965735499669e-06,0.003556691576099712,1.78
13.75,14.0,13.875,0.0033799615598960006,4.049336606536249e-06,4.049336606536249e-06,0.0033799615598959997,1.85
14.0,14.25,14.125,0.003291596551794144,2.85340499674443e-06,2.85340499674443e-06,0.0032915965517941433,1.87
14.25,14.5,14.375,0.003092775283564968,1.8234664613093008e-06,1.8234664613093008e-06,0.003092775283564967,1.91
14.5,14.75,14.625,0.002805589007233935,1.1425630965556238e-06,1.1425630965556238e-06,0.0028055890072339346,2.0
14.75,15.0,14.875,0.002761406503183007,5.972818493467132e-07,5.972818493467132e-07,0.0027614065031830066,2.05
15.0,15.25,15.125,0.0026067677390047587,3.2126469736619415e-07,3.2126469736619415e-07,0.0026067677390047583,2.12
15.25,15.5,15.375,0.002319581462673726,1.6901498001654985e-07,1.6901498001654985e-07,0.0023195814626737255,2.24
15.5,15.75,15.625,0.00234167271469919,8.89893309978543e-08,8.89893309978543e-08,0.0023416727146991895,2.22
15.75,16.0,15.875,0.0021052963180267247,4.534003289442813e-08,4.534003289442813e-08,0.0021052963180267243,2.34
16.0,16.25,16.125,0.0019837944318866724,2.2343158411055267e-08,2.2343158411055267e-08,0.001983794431886672,2.38
16.25,16.5,16.375,0.0018225282921007849,7.593695479336662e-09,7.593695479336662e-09,0.0018225282921007844,2.48
16.5,16.75,16.625,0.0015795245198206801,3.2130865738901075e-09,3.2130865738901075e-09,0.0015795245198206797,2.66
16.75,17.0,16.875,0.0014425587572628028,2.044722331402246e-09,2.044722331402246e-09,0.0014425587572628026,2.78
17.0,17.25,17.125,0.0012017641101852445,1.3872199472091829e-09,1.3872199472091829e-09,0.0012017641101852443,3.05
17.25,17.5,17.375,0.0009698059639178722,7.421724902081865e-10,7.421724902081865e-10,0.000969805963917872,3.39
17.5,17.75,17.625,0.0008085398241319845,2.8272670538755875e-10,2.8272670538755875e-10,0.0008085398241319843,3.72
17.75,18.0,17.875,0.0005235626730034982,0.0,0.0,0.0005235626730034981,4.61
18.0,18.25,18.125,0.00027614065031830075,0.0,0.0,0.0002761406503183007,6.35
18.25,18.5,18.375,8.019124485243453e-05,0.0,0.0,8.019124485243452e-05,11.79
18.5,18.75,18.625,1.4513952580729886e-05,0.0,0.0,1.4513952580729882e-05,27.74
