keywords,text
channel,2021-05-08T18:27:26 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T18:27:26 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T18:27:26 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T18:38:11 Programming Time channels
channel,2021-05-08T18:38:11 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T18:38:11 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T18:38:11 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T18:42:13 Programming Time channels
channel,2021-05-08T18:42:13 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T18:42:13 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T18:42:13 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T18:43:16 Programming Time channels
channel,2021-05-08T18:43:16 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T18:43:16 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T18:43:16 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T18:54:00 Programming Time channels
channel,2021-05-08T18:54:00 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T18:54:00 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T18:54:00 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T19:04:43 Programming Time channels
channel,2021-05-08T19:04:43 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T19:04:43 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T19:04:43 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T19:15:28 Programming Time channels
channel,2021-05-08T19:15:28 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T19:15:28 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T19:15:28 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T19:26:11 Programming Time channels
channel,2021-05-08T19:26:11 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T19:26:11 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T19:26:11 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T19:47:29 Programming Time channels
channel,2021-05-08T19:47:29 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T19:47:29 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T19:47:29 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T20:52:04 Programming Time channels
channel,2021-05-08T20:52:04 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T20:52:04 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T20:52:04 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T21:56:37 Programming Time channels
channel,2021-05-08T21:56:37 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T21:56:37 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T21:56:37 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T23:19:09 Programming Time channels
channel,2021-05-08T23:19:09 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T23:19:09 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T23:19:09 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T00:24:22 Programming Time channels
channel,2021-05-09T00:24:22 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T00:24:22 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T00:24:22 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T01:29:03 Programming Time channels
