run_number,path,shape,dtype,size,value,matching_attributes,role
44724,raw_data_1/selog/Sample/setpoint_spread,"(1,)",float32,1,[0.0],,concrete_sample_1
44724,raw_data_1/selog/Sample/value,"(1,)",float32,1,[829.4179],,concrete_sample_1
44724,raw_data_1/selog/Sample/value_log/alarm_severity,"(1, 1)",|S4,1,[NONE],,concrete_sample_1
44724,raw_data_1/selog/Sample/value_log/alarm_status,"(1, 1)",|S8,1,[NO_ALARM],,concrete_sample_1
44724,raw_data_1/selog/Sample/value_log/alarm_time,"(1,)",float32,1,[-304.0],,concrete_sample_1
44724,raw_data_1/selog/Sample/value_log/name,"(1,)",|S1,1,[ ],,concrete_sample_1
44724,raw_data_1/selog/Sample/value_log/time,"(4,)",float32,4,"[-304.0, -61.0, 2.0, 636.0]",,concrete_sample_1
44724,raw_data_1/selog/Sample/value_log/value,"(4,)",float32,4,"[829.4179, 829.4179, 829.4179, 829.4179]",,concrete_sample_1
44724,raw_data_1/selog/Sample/value_log/value_valid,"(4,)",int32,4,"[1, 1, 1, 1]",,concrete_sample_1
44724,raw_data_1/selog/Sample/value_spread,"(1,)",float32,1,[0.0],,concrete_sample_1
44724,raw_data_1/selog/Sample/vi_name,"(1,)",|S1,1,[ ],,concrete_sample_1
44724,raw_data_1/selog/Water_Bath_Temp/read_control,"(1,)",|S1,1,[ ],,concrete_sample_1
44724,raw_data_1/selog/Water_Bath_Temp/set_control,"(1,)",|S1,1,[ ],,concrete_sample_1
44724,raw_data_1/selog/Water_Bath_Temp/setpoint,"(1,)",float32,1,[0.0],,concrete_sample_1
44724,raw_data_1/selog/Water_Bath_Temp/setpoint_spread,"(1,)",float32,1,[0.0],,concrete_sample_1
44724,raw_data_1/selog/Water_Bath_Temp/value,"(1,)",float32,1,[20.45],,concrete_sample_1
44724,raw_data_1/selog/Water_Bath_Temp/value_log/alarm_severity,"(1, 1)",|S4,1,[NONE],,concrete_sample_1
44724,raw_data_1/selog/Water_Bath_Temp/value_log/alarm_status,"(1, 1)",|S8,1,[NO_ALARM],,concrete_sample_1
44724,raw_data_1/selog/Water_Bath_Temp/value_log/alarm_time,"(1,)",float32,1,[-304.0],,concrete_sample_1
44724,raw_data_1/selog/Water_Bath_Temp/value_log/name,"(1,)",|S1,1,[ ],,concrete_sample_1
44724,raw_data_1/selog/Water_Bath_Temp/value_log/time,"(14,)",float32,14,"[-304.0, -61.0, 2.0, 178.0, 182.0, 239.0, 268.0, 360.0, 363.0, 479.0, 502.0, 567.0, 598.0, 636.0]",,concrete_sample_1
44724,raw_data_1/selog/Water_Bath_Temp/value_log/value,"(14,)",float32,14,"[20.45, 20.45, 20.45, 20.44, 20.45, 20.44, 20.45, 20.44, 20.45, 20.44, 20.45, 20.44, 20.45, 20.45]",,concrete_sample_1
44724,raw_data_1/selog/Water_Bath_Temp/value_log/value_valid,"(14,)",int32,14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,concrete_sample_1
44724,raw_data_1/selog/Water_Bath_Temp/value_spread,"(1,)",float32,1,[0.0],,concrete_sample_1
44724,raw_data_1/selog/Water_Bath_Temp/vi_name,"(1,)",|S1,1,[ ],,concrete_sample_1
44724,raw_data_1/title,"(1,)",|S44,1,[Concrete sample 1 (117.77g) in tank with GEM],,concrete_sample_1
44749,raw_data_1/definition,"(1,)",|S6,1,[TOFRAW],url=b'http://definition.nexusformat.org/instruments/TOFRAW?version=1.0',concrete_sample_3M
44749,raw_data_1/definition_local,"(1,)",|S10,1,[ISISTOFRAW],url=b'http://svn.isis.rl.ac.uk/instruments/ISISTOFRAW?version=1.0',concrete_sample_3M
44749,raw_data_1/detector_1/counts,"(1, 196, 9729)",int32,1906884,,"axes=b'period_index,spectrum_index,time_of_flight' | target=b'/raw_data_1/instrument/detector_1/counts'",concrete_sample_3M
44749,raw_data_1/detector_1/period_index,"(1,)",int32,1,[1],,concrete_sample_3M
44749,raw_data_1/detector_1/spectrum_index,"(196,)",int32,196,,target=b'/raw_data_1/instrument/detector_1/spectrum_index',concrete_sample_3M
44749,raw_data_1/detector_1/time_of_flight,"(9730,)",float32,9730,,target=b'/raw_data_1/instrument/dae/time_channels_1/time_of_flight',concrete_sample_3M
44749,raw_data_1/instrument/dae/detector_table_file,"(1,)",|S83,1,[C:/Instrument/Settings/config/NDXVESUVIO/configurations/tables/detector_dae3_00.dat],,concrete_sample_3M
44749,raw_data_1/instrument/dae/spectra_table_file,"(1,)",|S83,1,[C:/Instrument/Settings/config/NDXVESUVIO/configurations/tables/spectrum_dae3_00.dat],,concrete_sample_3M
44749,raw_data_1/instrument/dae/time_channels_1/time_of_flight_raw,"(9730,)",int32,9730,,target=b'/raw_data_1/instrument/dae/time_channels_1/time_of_flight_raw',concrete_sample_3M
44749,raw_data_1/instrument/detector_1/delt,"(196,)",float32,196,,,concrete_sample_3M
44749,raw_data_1/instrument/detector_1/distance,"(196,)",float32,196,,,concrete_sample_3M
44749,raw_data_1/instrument/detector_1/polar_angle,"(196,)",float32,196,,,concrete_sample_3M
44749,raw_data_1/instrument/detector_1/source_detector_distance,"(1,)",float32,1,[0.0],,concrete_sample_3M
44749,raw_data_1/instrument/moderator/distance,"(1,)",float32,1,[-0.0],,concrete_sample_3M
44749,raw_data_1/isis_vms_compat/HDR,"(1,)",|S80,1,[VES44749Martellucci         Concrete sample 3M (163.09-MAY-2021 12:08:00   20.07],,concrete_sample_3M
44749,raw_data_1/isis_vms_compat/TITL,"(1,)",|S80,1,[Concrete sample 3M (163.72g) in tank with GEM                                   ],,concrete_sample_3M
44749,raw_data_1/monitor_1/data,"(1, 1, 9729)",int32,9729,,"axes=b'period_index,spectrum_index,time_of_flight'",concrete_sample_3M
44749,raw_data_1/monitor_1/monitor_number,"(1,)",int32,1,[1],,concrete_sample_3M
44749,raw_data_1/monitor_1/spectrum_index,"(1,)",int32,1,[1],,concrete_sample_3M
44749,raw_data_1/monitor_2/data,"(1, 1, 9729)",int32,9729,,"axes=b'period_index,spectrum_index,time_of_flight'",concrete_sample_3M
44749,raw_data_1/monitor_2/monitor_number,"(1,)",int32,1,[2],,concrete_sample_3M
44749,raw_data_1/monitor_2/spectrum_index,"(1,)",int32,1,[2],,concrete_sample_3M
44749,raw_data_1/monitor_events_not_saved,"(1,)",int64,1,[0],,concrete_sample_3M
44749,raw_data_1/runlog/icp_event/time,"(6,)",float32,6,"[-62.0, 0.0, 0.0, 0.0, 426.0, 426.0]",,concrete_sample_3M
44749,raw_data_1/runlog/icp_event/value,"(6, 1)",|S65,6,"[CHANGE_PERIOD 1                                                  , CHANGE_PERIOD 1                                                  , START_COLLECTION PERIOD 1 GF 0 RF 0 GUAH 0.000000                , BEGIN                                                            , STOP_COLLECTION PERIOD 1 GF 17016 RF 17016 GUAH 20.069492 DUR 426, END                                                              ]",,concrete_sample_3M
44749,raw_data_1/runlog/monitor_sum_1/time,"(46,)",float32,46,"[-967.0, -937.0, -906.0, -876.0, -846.0, -816.0, -786.0, -756.0, -726.0, -696.0, -666.0, -636.0, -606.0, -576.0, -546.0, -516.0, -486.0, -456.0, -426.0, -395.0, -365.0, -335.0, -305.0, -275.0, -245.0, -215.0, -185.0, -155.0, -125.0, -95.0, -65.0, 25.0, 55.0, 86.0, 116.0, 146.0, 176.0, 206.0, 236.0, 266.0, 296.0, 326.0, 356.0, 386.0, 416.0, 427.0]",,concrete_sample_3M
