run_number,path,shape,dtype,size,role
44712,raw_data_1/periods/output,"(1,)",int32,1,early_empty_control
44712,raw_data_1/periods/proton_charge,"(1,)",float32,1,early_empty_control
44712,raw_data_1/periods/proton_charge_raw,"(1,)",float32,1,early_empty_control
44712,raw_data_1/periods/raw_frames,"(1,)",int32,1,early_empty_control
44712,raw_data_1/periods/sequences,"(1,)",int32,1,early_empty_control
44712,raw_data_1/periods/total_counts,"(1,)",float32,1,early_empty_control
44712,raw_data_1/periods/type,"(1,)",int32,1,early_empty_control
44712,raw_data_1/program_name,"(1,)",|S11,1,early_empty_control
44712,raw_data_1/proton_charge,"(1,)",float32,1,early_empty_control
44712,raw_data_1/proton_charge_raw,"(1,)",float32,1,early_empty_control
44712,raw_data_1/raw_frames,"(1,)",int32,1,early_empty_control
44712,raw_data_1/run_cycle,"(1,)",|S4,1,early_empty_control
44712,raw_data_1/run_number,"(1,)",int32,1,early_empty_control
44712,raw_data_1/runlog/count_rate/time,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/count_rate/value,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/dae_beam_current/time,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/dae_beam_current/value,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/good_frames/time,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/good_frames/value,"(111,)",int32,111,early_empty_control
44712,raw_data_1/runlog/good_uah_log/time,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/good_uah_log/value,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/icp_event/time,"(6,)",float32,6,early_empty_control
44712,raw_data_1/runlog/icp_event/value,"(6, 1)",|S65,6,early_empty_control
44712,raw_data_1/runlog/is_running/time,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/is_running/value,"(111,)",int32,111,early_empty_control
44712,raw_data_1/runlog/is_waiting/time,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/is_waiting/value,"(111,)",int32,111,early_empty_control
44712,raw_data_1/runlog/monitor_sum_1/time,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/monitor_sum_1/value,"(111,)",int32,111,early_empty_control
44712,raw_data_1/runlog/np_ratio/time,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/np_ratio/value,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/period/time,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/period/value,"(111,)",int32,111,early_empty_control
44712,raw_data_1/runlog/raw_frames/time,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/raw_frames/value,"(111,)",int32,111,early_empty_control
44712,raw_data_1/runlog/raw_uah_log/time,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/raw_uah_log/value,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/run_status/time,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/run_status/value,"(111,)",int32,111,early_empty_control
44712,raw_data_1/runlog/total_counts/time,"(111,)",float32,111,early_empty_control
44712,raw_data_1/runlog/total_counts/value,"(111,)",int32,111,early_empty_control
44712,raw_data_1/sample/distance,"(1,)",float64,1,early_empty_control
44712,raw_data_1/sample/height,"(1,)",float32,1,early_empty_control
44712,raw_data_1/sample/id,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/sample/name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/sample/shape,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/sample/thickness,"(1,)",float32,1,early_empty_control
44712,raw_data_1/sample/type,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/sample/width,"(1,)",float32,1,early_empty_control
44712,raw_data_1/script_name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/seci_config,"(1,)",|S5,1,early_empty_control
44712,raw_data_1/selog/BackFoil/read_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/BackFoil/set_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/BackFoil/setpoint,"(1,)",float32,1,early_empty_control
