Omega,K,radiation_locking,uniform_baseline_locking,locking_excess
0.0,2.3379294166249625,0.0,0.0016666666666666668,-0.0016666666666666668
0.023255813953488372,2.3379294166249625,0.0,0.0,0.0
0.046511627906976744,2.3379294166249625,0.0,0.0,0.0
0.06976744186046512,2.3379294166249625,0.0,0.0,0.0
0.09302325581395349,2.3379294166249625,0.0,0.0,0.0
0.11627906976744186,2.3379294166249625,0.0,0.0,0.0
0.13953488372093023,2.3379294166249625,0.0,0.0,0.0
0.16279069767441862,2.3379294166249625,0.0,0.0,0.0
0.18604651162790697,2.3379294166249625,0.0,0.0016666666666666668,-0.0016666666666666668
0.20930232558139533,2.3379294166249625,0.0,0.0,0.0
0.23255813953488372,2.3379294166249625,0.0008333333333333334,0.0,0.0008333333333333334
0.2558139534883721,2.3379294166249625,0.0008333333333333334,0.0,0.0008333333333333334
0.27906976744186046,2.3379294166249625,0.060833333333333336,0.075,-0.01416666666666666
0.3023255813953488,2.3379294166249625,0.8341666666666666,0.8441666666666666,-0.010000000000000009
0.32558139534883723,2.3379294166249625,0.835,0.8458333333333333,-0.010833333333333361
0.3488372093023256,2.3379294166249625,0.5133333333333333,0.5716666666666667,-0.05833333333333335
0.37209302325581395,2.3379294166249625,0.01,0.005,0.005
0.3953488372093023,2.3379294166249625,0.0,0.0,0.0
0.41860465116279066,2.3379294166249625,0.0,0.0,0.0
0.4418604651162791,2.3379294166249625,0.0,0.0,0.0
0.46511627906976744,2.3379294166249625,0.0,0.0,0.0
0.4883720930232558,2.3379294166249625,0.0,0.0,0.0
0.5116279069767442,2.3379294166249625,0.0,0.0,0.0
0.5348837209302325,2.3379294166249625,0.0,0.0,0.0
0.5581395348837209,2.3379294166249625,0.0,0.0,0.0
0.5813953488372093,2.3379294166249625,0.0,0.0,0.0
0.6046511627906976,2.3379294166249625,0.0,0.0,0.0
0.627906976744186,2.3379294166249625,0.004166666666666667,0.005,-0.0008333333333333335
0.6511627906976745,2.3379294166249625,0.6375,0.5716666666666667,0.0658333333333333
0.6744186046511628,2.3379294166249625,0.8666666666666667,0.8458333333333333,0.02083333333333337
0.6976744186046512,2.3379294166249625,0.8608333333333333,0.8441666666666666,0.01666666666666672
0.7209302325581395,2.3379294166249625,0.07833333333333334,0.075,0.003333333333333341
0.7441860465116279,2.3379294166249625,0.0025,0.0,0.0025
0.7674418604651163,2.3379294166249625,0.0008333333333333334,0.0,0.0008333333333333334
0.7906976744186046,2.3379294166249625,0.0,0.0,0.0
0.813953488372093,2.3379294166249625,0.0,0.0016666666666666668,-0.0016666666666666668
0.8372093023255813,2.3379294166249625,0.0,0.0,0.0
0.8604651162790697,2.3379294166249625,0.0,0.0,0.0
0.8837209302325582,2.3379294166249625,0.0,0.0,0.0
0.9069767441860465,2.3379294166249625,0.0,0.0,0.0
0.9302325581395349,2.3379294166249625,0.0,0.0,0.0
0.9534883720930233,2.3379294166249625,0.0,0.0,0.0
0.9767441860465116,2.3379294166249625,0.0,0.0,0.0
1.0,2.3379294166249625,0.0,0.0016666666666666668,-0.0016666666666666668
0.0,2.630170593703083,0.0,0.0016666666666666668,-0.0016666666666666668
0.023255813953488372,2.630170593703083,0.0,0.0,0.0
0.046511627906976744,2.630170593703083,0.0,0.0,0.0
0.06976744186046512,2.630170593703083,0.0,0.0,0.0
0.09302325581395349,2.630170593703083,0.0,0.0,0.0
0.11627906976744186,2.630170593703083,0.0,0.0,0.0
0.13953488372093023,2.630170593703083,0.0,0.0,0.0
0.16279069767441862,2.630170593703083,0.0,0.0,0.0
0.18604651162790697,2.630170593703083,0.0,0.0,0.0
0.20930232558139533,2.630170593703083,0.0,0.0016666666666666668,-0.0016666666666666668
0.23255813953488372,2.630170593703083,0.0,0.0,0.0
0.2558139534883721,2.630170593703083,0.0,0.0,0.0
0.27906976744186046,2.630170593703083,0.0,0.0,0.0
0.3023255813953488,2.630170593703083,0.0,0.0,0.0
0.32558139534883723,2.630170593703083,0.004166666666666667,0.004166666666666667,0.0
0.3488372093023256,2.630170593703083,0.39166666666666666,0.4791666666666667,-0.08750000000000002
0.37209302325581395,2.630170593703083,0.8566666666666667,0.8675,-0.010833333333333361
0.3953488372093023,2.630170593703083,0.875,0.87,0.0050000000000000044
0.41860465116279066,2.630170593703083,0.005833333333333334,0.009166666666666667,-0.003333333333333333
0.4418604651162791,2.630170593703083,0.0,0.0,0.0
0.46511627906976744,2.630170593703083,0.0,0.0,0.0
0.4883720930232558,2.630170593703083,0.0,0.0,0.0
