a,b,mean_sync,std_sync,drive_lock,collective_drive_lock,frequency_error,sync_gain_vs_no_drive,drive_lock_gain_vs_no_drive,frequency_error_improvement_vs_no_drive
0.1618547415873842,0.8229001224678567,0.592816156044542,0.20637718175794428,0.17923787964829996,0.236281062223501,1.7445899540532266,-0.013123636204996236,0.012338709149380706,0.011202469681420801
0.1618547415873842,0.8551001002009736,0.5841619032633658,0.21169755444612573,0.10389908141564651,0.11833266663494962,1.537425113662858,-0.02177788898617239,0.04404913622530786,0.01604888308756003
0.1618547415873842,0.8873000779340905,0.5409073308874945,0.21003448850695627,0.22175086243990405,0.24337397489368665,1.3442483507193086,-0.06503246136204366,0.008303229235867432,0.006907219046879298
0.1618547415873842,0.9195000556672075,0.5219442640155707,0.22093767590883223,0.6133600558829442,0.7876444503687926,1.0841620363019033,-0.0839955282339675,0.09166548081961134,0.06467510648005437
0.1618547415873842,0.9517000334003245,0.6622411764822383,0.21006145697700684,0.7127991691647072,0.929597103376421,0.9011998134369457,0.05630138423270015,0.01489300699383811,0.045318902360780955
0.1618547415873842,0.9839000111334414,0.6263555844200214,0.20728508194794193,0.7125015858280497,0.9169820135882244,0.8340614789855421,0.02041579217048317,0.06874995022203134,0.08329270008922718
0.1618547415873842,1.0160999888665585,0.5392004347506998,0.21994008586877717,0.3443868369183662,0.3571324313228591,1.0059333356785078,-0.06673935749883841,-0.06545273831198845,-0.021139680942327876
0.1618547415873842,1.0482999665996753,0.5550855447013725,0.21794597911309987,0.2511839019859644,0.2758055608622653,1.0519248060365292,-0.0508542475481657,0.12199931192139224,0.0003083243610606523
0.1618547415873842,1.080499944332792,0.5424992645117245,0.21212276034375188,0.2066439952439159,0.2826781988809248,1.1065413038196126,-0.06344052773781372,0.10470771671034755,0.013131302239386411
0.1618547415873842,1.112699922065909,0.5665003510385042,0.2194707800833789,0.12748039276275241,0.13831333704499443,1.2121810199990137,-0.03943944121103404,-0.039436773011475995,-0.025068938278604236
0.1618547415873842,1.144899899799026,0.5802005327957895,0.2171509244854865,0.1345339958918787,0.10880248936574374,1.2478499351364571,-0.025739259453748664,0.03708655956550008,0.006701622245362415
0.1618547415873842,1.177099877532143,0.593185592023073,0.21793266383254958,0.1142720462497069,0.09020512449936999,1.3167307323363275,-0.012754200226465229,0.061273061454476134,0.005260300706902532
0.1618547415873842,1.20929985526526,0.6114309418724754,0.20986791788378445,0.085174212368469,0.0536891604949581,1.40029291969751,0.005491149622937175,-0.040454959514881594,-0.010862410992869886
0.1618547415873842,1.241499832998377,0.6083916907257034,0.20714875805882915,0.1713099241100277,0.04067408419271835,1.4331748379685716,0.0024518984761652263,0.05859373154959749,0.02369514639747905
0.1618547415873842,1.273699810731494,0.6100960107466288,0.20859270981138156,0.08154060785206015,0.041610319201592805,1.5143865309540954,0.00415621849709058,0.03097981410629743,0.009922929073364894
0.1618547415873842,1.3058997884646109,0.6141690931660346,0.20870636080275853,0.1028324548334153,0.037618235131059344,1.6042266491922716,0.00822930091649643,-0.04358943581814195,-0.012477713503401766
0.1618547415873842,1.3380997661977276,0.5911809091062308,0.2061502716280955,0.3912440980804104,0.22426407253916297,1.5996193402447685,-0.014758883143307422,0.1266867066680294,0.05956907110551146
0.1618547415873842,1.3702997439308446,0.609994061169626,0.21317762348085803,0.39108599330806154,0.3217855901433434,1.7007528352254817,0.004054268920087756,0.024558885428523747,0.025875051786208303
0.1618547415873842,1.4024997216639616,0.5927659128853863,0.22573167573054995,0.3759071916175929,0.28089029864213566,1.8489597721407889,-0.01317387936415193,-0.0006516906870754902,0.036979489840706314
0.1618547415873842,1.4346996993970786,0.5936323020773917,0.2069804269939855,0.22193376256176536,0.16341793446377742,2.089554355736004,-0.012307490172146496,-0.027562172755884906,-0.0012966667702780654
0.1618547415873842,1.4668996771301956,0.6053643089504801,0.20054834283127895,0.10905862916838599,0.08560786666948984,2.280220080635421,-0.0005754832990580994,0.04399525406292265,0.010356035314535994
0.1618547415873842,1.4990996548633126,0.6062800274251099,0.20389981316084166,0.08704948701643771,0.07351560569669953,2.4874481080420736,0.00034023517557169036,0.003264488800304763,0.005446434892114382
0.1618547415873842,1.5312996325964296,0.6077641248614263,0.20695669101176256,0.11927874575754624,0.1187317839506749,2.684990839869433,0.0018243326118880798,0.012129279893640835,0.01022213004898509
0.3237094831747684,0.46870036740357024,0.5957324704755429,0.219505957608636,0.048961206480676644,0.04573674592050238,3.9647022690719034,-0.010207321773995304,0.0353878188133285,0.01659285148927747
0.3237094831747684,0.5009003451366871,0.6091804070679105,0.18812183591126264,0.038229906312493886,0.18858204710808224,3.77396977694022,0.003240614818372345,-0.006710087431344686,0.005006916636730807
0.3237094831747684,0.5331003228698041,0.5859228861769252,0.23059877422651523,0.07596033752170246,0.1915167896277154,3.5555154663918884,-0.020016906072612972,0.026636736353796736,0.021142800200831147
0.3237094831747684,0.5653003006029211,0.6100492417330134,0.18462615310309233,0.07203530933933219,0.2688840797443553,3.351861961237864,0.004109449483475247,0.02724676057748532,0.022477878370625426
0.3237094831747684,0.597500278336038,0.5883712791794697,0.22054925171401973,0.05883560225530446,0.10361124063169519,3.1656786744778813,-0.01756851307006846,-0.011532374656180858,0.006342738146377869
0.3237094831747684,0.6297002560691549,0.5996876159581211,0.20517410969161973,0.11076703315118683,0.16447718487620294,2.939630613912036,-0.006252176291417055,0.03918024099683545,0.03007237172799382
0.3237094831747684,0.6619002338022719,0.5969510148091598,0.20334023622061898,0.07897242316356007,0.13178978808378022,2.741524679403021,-0.008988777440378404,0.0626878761458644,0.025859879252777773
0.3237094831747684,0.6941002115353889,0.5845199279254355,0.21488714825967825,0.06932711066904067,0.0698235603050395,2.5536900193813703,-0.0214198643241027,-0.008408037880092409,0.011376112290198748
