curve,observable,ensemble_group,embedding_dimension,n_points_used,steps_used,coordinate_step,threshold_trimmed,quality_status,Exp1,Exp2,LLE,sum_exponents,positive_count,KS_entropy_proxy,Kaplan_Yorke_dim,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10
2,transmission_proxy,transmission_proxy_samples,3,3498,180,0.0039471882891817245,False,valid,159.89455411505014,39.6864932283507,159.89455411505014,23.68181801640202,2,199.58104734340083,3.0,-175.8992293269988,,,,,,,
2,transmission_proxy,transmission_proxy_samples,4,3497,180,0.0039471882891817245,False,valid,128.49264703517588,34.72031325593707,128.49264703517588,-62.32072062673576,2,163.21296029111295,3.627436689991953,-58.25816303233752,-167.2755178855112,,,,,,
2,transmission_proxy,transmission_proxy_samples,5,3496,180,0.0039471882891817245,False,valid,108.61128489989824,44.973345265053204,108.61128489989824,-83.83412567584733,3,154.47426774679923,4.50691372612507,0.8896375818477806,-68.28920992959286,-170.0191834930537,,,,,
2,transmission_proxy,transmission_proxy_samples,6,3495,180,0.0039471882891817245,False,valid,100.69236904787205,55.623896554294205,100.69236904787205,-69.8360354438837,3,184.867930077929,5.582862687800517,28.551664475762752,-21.986954074860098,-65.29963256120212,-167.41737888575048,,,,
2,transmission_proxy,transmission_proxy_samples,7,3494,180,0.0039471882891817245,False,valid,98.86881950021298,42.351190716632935,98.86881950021298,-153.40110732991326,3,161.2600644872674,6.163166835981352,20.040054270421514,-15.054871388089975,-44.16795541547093,-72.12688709619076,-183.31145791742904,,,
2,transmission_proxy,transmission_proxy_samples,8,3493,180,0.0039471882891817245,False,valid,81.72041873093964,50.792576171291536,81.72041873093964,-130.18845472301186,4,161.16547378336014,7.238738639120096,18.06181703546796,10.590661845661018,-14.248829018522349,-35.50834005813661,-70.57999513139936,-171.01676429831372,,
2,transmission_proxy,transmission_proxy_samples,9,3492,180,0.0039471882891817245,False,valid,71.59599209916195,51.28937985672208,71.59599209916195,-155.7763762678935,4,169.09158386608678,8.203880474044249,37.13314227801574,9.073069632187014,-0.8318202507193645,-26.697880156143924,-34.91249469983569,-66.75618126612135,-195.66958376115997,
2,transmission_proxy,transmission_proxy_samples,10,3491,180,0.0039471882891817245,False,valid,71.76444316413362,48.32843510534685,71.76444316413362,-205.3159070895312,5,162.25106658309585,8.90252333433598,24.441998017381977,14.56347834328198,3.1527119529514014,-19.357487803517614,-25.451926120143845,-48.453032103646194,-76.43970846088408,-197.8648191844353
3M,transmission_proxy,transmission_proxy_samples,2,3499,180,0.0039471882891817245,False,valid,294.37711700499796,-100.77562449993675,294.37711700499796,193.6014925050612,1,294.37711700499796,2.0,,,,,,,,
3M,transmission_proxy,transmission_proxy_samples,3,3498,180,0.0039471882891817245,False,valid,154.60615072975264,31.144293327940574,154.60615072975264,19.146340316842327,2,185.75044405769322,3.0,-166.6041037408509,,,,,,,
3M,transmission_proxy,transmission_proxy_samples,4,3497,180,0.0039471882891817245,False,valid,123.20474971879665,41.38893117640008,123.20474971879665,-23.09746144527267,2,164.5936808951967,3.8579529597615503,-25.086828963009545,-162.60431337745985,,,,,,
3M,transmission_proxy,transmission_proxy_samples,5,3496,180,0.0039471882891817245,False,valid,100.03047938324814,55.71527713650349,100.03047938324814,-75.46664283537686,2,155.74575651975164,4.514772495546855,-5.6009558375193915,-70.0830735410785,-155.5283699765306,,,,,
3M,transmission_proxy,transmission_proxy_samples,6,3495,180,0.0039471882891817245,False,valid,116.12564159858181,58.23322915194058,116.12564159858181,-135.22511395084805,3,182.91744365763742,5.397638155111263,8.558572907115026,-23.059515036685735,-70.59154282246547,-224.49149974933428,,,,
3M,transmission_proxy,transmission_proxy_samples,7,3494,180,0.0039471882891817245,False,valid,111.36437652807308,50.089758326800315,111.36437652807308,-97.61026890709687,3,181.08700952658862,6.389386092250623,19.632874671715236,-9.811962160925143,-30.035405140031717,-78.99395687372265,-159.85595425900598,,,
3M,transmission_proxy,transmission_proxy_samples,8,3493,180,0.0039471882891817245,False,valid,88.34824480398426,42.77255450686437,88.34824480398426,-140.6923659064318,4,168.11827556504244,7.2399546828336305,30.917995495733518,6.07948075846032,-7.278528105513127,-41.703091466538645,-74.71852555301153,-185.1104963464109,,
3M,transmission_proxy,transmission_proxy_samples,9,3492,180,0.0039471882891817245,False,valid,85.32528744398324,46.767030181890505,85.32528744398324,-163.88442207252953,4,173.40673305356893,8.143257317460044,31.312333909574907,10.00208151812027,-10.327229815809398,-16.83280967198304,-39.15980878573049,-79.6835078291078,-191.28779902346773,
3M,transmission_proxy,transmission_proxy_samples,10,3491,180,0.0039471882891817245,False,valid,82.04805979190219,49.12159836945192,82.04805979190219,-156.56990487400157,5,169.84789020361458,8.923387494990408,27.43029595275547,8.190940231194553,3.0569958583104446,-5.352247193267878,-30.59416616237791,-42.46189379566789,-99.02623064356088,-148.9832572827416
4M,transmission_proxy,transmission_proxy_samples,2,3499,180,0.003946616924808133,False,valid,297.6523243477814,-28.14246989589854,297.6523243477814,269.50985445188286,1,297.6523243477814,2.0,,,,,,,,
4M,transmission_proxy,transmission_proxy_samples,3,3498,180,0.003946616924808133,False,valid,179.43521879325206,29.399331794396453,179.43521879325206,49.47521287003255,2,208.83455058764852,3.0,-159.35933771761597,,,,,,,
4M,transmission_proxy,transmission_proxy_samples,4,3497,180,0.003946616924808133,False,valid,133.15549513656188,30.08108993937232,133.15549513656188,-68.78974041222014,2,163.23658507593422,3.591716396439259,-63.541135751685346,-168.485189736469,,,,,,
4M,transmission_proxy,transmission_proxy_samples,5,3496,180,0.003946616924808133,False,valid,96.58737300649742,33.41391638090362,96.58737300649742,-139.75634631231298,3,132.68787856053657,4.263655590675742,2.6865891731355216,-82.64670004263128,-189.7975248302183,,,,,
4M,transmission_proxy,transmission_proxy_samples,6,3495,180,0.003946616924808133,False,valid,102.36898118765073,53.214096672416204,102.36898118765073,-102.33803735121937,3,164.02767213354505,5.4570724208235895,8.444594273478117,-27.782111498286305,-50.090617934772766,-188.49298005170536,,,,
4M,transmission_proxy,transmission_proxy_samples,7,3494,180,0.003946616924808133,False,valid,84.39834369156748,62.88526303624106,84.39834369156748,-99.26887318821302,3,174.0464525219841,6.39300538244988,26.76284579417555,-8.966368730862992,-25.37550647660925,-75.43184680799901,-163.54160369472586,,,
