curve,observable,ensemble_group,embedding_dimension,nn_distance_entropy_raw_bits,nn_distance_entropy_theiler_bits,nn_distance_entropy_theiler2_bits,theiler_sensitivity_bits,theiler_window,nearest_distance_mean_theiler,nearest_distance_cv_theiler,adjacent_neighbor_fraction_raw,n_points,raw_quality_status
rxn_27_59_607,cross_section_barn,reaction_cross_sections,6,3.4385093605203507,2.7953451688150515,2.742062989681302,0.05328217913374944,6,12.460875865883684,1.7917881520941474,0.8936170212765957,141,sampling_geometry_dominated
rxn_27_59_607,cross_section_barn,reaction_cross_sections,7,3.5212203434192455,2.8111896463356265,2.8412543240375734,0.030064677701946874,7,15.73034026643532,1.7902668370419965,0.9142857142857143,140,sampling_geometry_dominated
rxn_27_59_607,cross_section_barn,reaction_cross_sections,8,3.570955838295949,2.83606919150037,2.8582297343885426,0.022160542888172596,8,19.12130969591759,1.7845647281812755,0.920863309352518,139,sampling_geometry_dominated
rxn_27_59_607,cross_section_barn,reaction_cross_sections,9,3.6187249220164928,2.970731902286654,2.878397911235521,0.09233399105113316,9,22.587453845508385,1.778748536036127,0.9202898550724637,138,sampling_geometry_dominated
rxn_27_59_607,cross_section_barn,reaction_cross_sections,10,3.6752171775278875,3.1106059114111906,2.9564105266497096,0.15419538476148098,10,26.076645123541418,1.7686454953396271,0.9124087591240876,137,sampling_geometry_dominated
rxn_27_59_627,cross_section_barn,reaction_cross_sections,2,2.3387329032121817,2.3820752128476084,2.1393913520603824,0.24268386078722592,2,8.939554751542401,1.9638105455584531,0.7472527472527473,91,sampling_geometry_dominated
rxn_27_59_627,cross_section_barn,reaction_cross_sections,3,2.3509853380741013,2.346564875081356,2.209801784487753,0.13676309059360303,3,17.35743236251794,1.9852730559414535,0.8,90,sampling_geometry_dominated
rxn_27_59_627,cross_section_barn,reaction_cross_sections,4,2.4518297714832578,2.2989124627817206,2.3277747428914024,0.028862280109681837,4,27.171739877647237,1.9914526005604267,0.8539325842696629,89,sampling_geometry_dominated
rxn_27_59_627,cross_section_barn,reaction_cross_sections,5,2.5363677742105506,2.449894587001041,2.3756527755482524,0.07424181145278874,5,37.586746653610376,1.9809010625732535,0.8522727272727273,88,sampling_geometry_dominated
rxn_27_59_627,cross_section_barn,reaction_cross_sections,6,2.512291045993679,2.4979794080875117,2.391509808407461,0.10646959968005065,6,48.00219705355104,1.9577928756231031,0.8620689655172413,87,sampling_geometry_dominated
rxn_27_59_627,cross_section_barn,reaction_cross_sections,7,2.548537321583688,2.5051964333622627,2.4586848054552863,0.04651162790697638,7,58.02075001770518,1.9261729398136267,0.872093023255814,86,sampling_geometry_dominated
rxn_27_59_627,cross_section_barn,reaction_cross_sections,8,2.5473474053005933,2.5273346509158627,2.4802758273864516,0.04705882352941115,8,67.18377342149128,1.8909190888516778,0.8705882352941177,85,sampling_geometry_dominated
rxn_27_59_627,cross_section_barn,reaction_cross_sections,9,2.593632195443326,2.5498897428165304,2.4546516475784355,0.0952380952380949,9,75.59572571319377,1.8584231850956754,0.8571428571428571,84,sampling_geometry_dominated
rxn_27_59_627,cross_section_barn,reaction_cross_sections,10,2.577717107907162,2.5155855567202616,2.4914891711780927,0.024096385542168974,10,83.24608705876904,1.8324631930860606,0.8433734939759037,83,sampling_geometry_dominated
rxn_27_59_72,cross_section_barn,reaction_cross_sections,2,2.625983412755504,2.7763236190169747,2.850085924817729,0.07376230580075438,2,203.21319582128166,1.8457298903327806,0.9351851851851852,108,sampling_geometry_dominated
rxn_27_59_72,cross_section_barn,reaction_cross_sections,3,2.510603802221833,2.711610216455835,2.8890483382795296,0.17743812182369467,3,351.032812389341,1.8805789029455906,0.9906542056074766,107,sampling_geometry_dominated
rxn_27_59_72,cross_section_barn,reaction_cross_sections,4,2.5502379289288832,2.8051050222665026,2.8202903097611896,0.01518528749468695,4,501.48509284079205,1.9006725467535897,1.0,106,sampling_geometry_dominated
rxn_27_59_72,cross_section_barn,reaction_cross_sections,5,2.486266938951858,2.6978781809676464,2.7434834997836655,0.045605318816019036,5,659.3004781759696,1.875047967566627,1.0,105,sampling_geometry_dominated
rxn_27_59_72,cross_section_barn,reaction_cross_sections,6,2.5726076041578407,2.717662839785198,2.665007993335118,0.05265484645008023,6,838.7408395656136,1.8053713610524273,1.0,104,sampling_geometry_dominated
rxn_27_59_72,cross_section_barn,reaction_cross_sections,7,2.6456384364161014,2.7106774688887825,2.6239783244455013,0.0866991444432812,7,1056.1352182286184,1.7264810334900826,1.0,103,sampling_geometry_dominated
rxn_27_59_72,cross_section_barn,reaction_cross_sections,8,2.7238480135189125,2.5830193078659685,2.591946956196858,0.00892764833088977,8,1310.9647659933607,1.6626094619696203,1.0,102,sampling_geometry_dominated
rxn_27_59_72,cross_section_barn,reaction_cross_sections,9,2.711987372053827,2.6301590304054074,2.643263215382221,0.013104184976813649,9,1600.6771869724528,1.6263264980246925,1.0,101,sampling_geometry_dominated
rxn_27_59_72,cross_section_barn,reaction_cross_sections,10,2.764705602313227,2.61351144752559,2.6638561897747244,0.050344742249134544,10,1919.7385610281665,1.6149108074797147,1.0,100,sampling_geometry_dominated
rxn_27_59_812,cross_section_barn,reaction_cross_sections,2,2.2914319193989607,2.4066304350040983,2.0308550673729897,0.37577536763110864,2,379.3515204651272,1.9602656536009746,0.8,130,sampling_geometry_dominated
rxn_27_59_812,cross_section_barn,reaction_cross_sections,3,2.3670787061350924,2.360531461280548,2.124154678184994,0.2363767830955541,3,746.865497811023,1.9601785267657026,0.9922480620155039,129,sampling_geometry_dominated
rxn_27_59_812,cross_section_barn,reaction_cross_sections,4,2.38948652645878,2.330816409237476,2.162274513541131,0.16854189569634492,4,1187.6572868515132,1.966296853304071,0.9921875,128,sampling_geometry_dominated
