curve,observable,ensemble_group,embedding_dimension,n_points_used,steps_used,coordinate_step,threshold_trimmed,quality_status,Exp1,Exp2,LLE,sum_exponents,positive_count,KS_entropy_proxy,Kaplan_Yorke_dim,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10
rxn_42_100_5,cross_section_barn,reaction_cross_sections,2,87,85,0.060900199615495865,False,valid,3.850219751223861,-7.209886825149755,3.850219751223861,-3.359667073925894,1,3.850219751223861,1.5340194436607337,,,,,,,,
rxn_42_100_5,cross_section_barn,reaction_cross_sections,3,86,84,0.060900199615495865,False,valid,2.819279032414622,-1.1988792880344943,2.819279032414622,-5.861475190312817,1,2.819279032414622,2.2165766948156573,-7.481874934692944,,,,,,,
rxn_42_100_5,cross_section_barn,reaction_cross_sections,4,85,83,0.060900199615495865,False,valid,2.4577520824872194,0.21850290539305117,2.4577520824872194,-10.735641161254975,2,2.6762549878802706,3.060338905745942,-1.9868821447218443,-11.425014004413402,,,,,,
rxn_42_100_5,cross_section_barn,reaction_cross_sections,5,84,82,0.060900199615495865,False,valid,3.0253850918162475,1.3257681564658785,3.0253850918162475,-14.403842170650226,2,4.351153248282126,3.504650121272849,-1.6326029851438573,-5.387000118579038,-11.735392315209456,,,,,
rxn_42_100_5,cross_section_barn,reaction_cross_sections,6,83,81,0.060900199615495865,False,valid,3.455211288729979,2.4936321471960596,3.455211288729979,-3.1605593593589685,3,6.595702916083955,5.476352714397315,0.646859480157916,-1.178379008483028,-2.542218715157932,-6.035664551801963,,,,
rxn_45_103_603,cross_section_barn,reaction_cross_sections,2,142,140,0.013614611005813515,True,valid,-0.3741639126022399,-35.72469941691336,-0.3741639126022399,-36.0988633295156,0,0.0,0.0,,,,,,,,
rxn_45_103_603,cross_section_barn,reaction_cross_sections,3,141,139,0.013614611005813515,True,valid,-4.473967620775387,-18.495688212079266,-4.473967620775387,-88.9743008954628,0,0.0,0.0,-66.00464506260815,,,,,,,
rxn_45_103_603,cross_section_barn,reaction_cross_sections,4,140,138,0.013614611005813515,True,valid,-3.9652311264157807,-13.951215709897987,-3.9652311264157807,-115.28752725507444,0,0.0,0.0,-28.203315805622506,-69.16776461313816,,,,,,
rxn_45_103_603,cross_section_barn,reaction_cross_sections,5,139,137,0.013614611005813515,True,valid,-3.8021273434354197,-11.973478294902607,-3.8021273434354197,-162.06259569446718,0,0.0,0.0,-30.17812023327207,-44.892960599046305,-71.21590922381078,,,,,
rxn_45_103_603,cross_section_barn,reaction_cross_sections,6,138,136,0.013614611005813515,True,valid,-5.363689591345172,-10.21504710773928,-5.363689591345172,-128.00675089582577,0,0.0,0.0,-12.716822568361614,-16.56783797979811,-24.93688268463368,-58.206470963947915,,,,
rxn_45_103_603,cross_section_barn,reaction_cross_sections,7,137,135,0.013614611005813515,True,valid,-2.930894467851397,-7.7355911022569295,-2.930894467851397,-146.92085531561293,0,0.0,0.0,-11.661852510151402,-18.313538084260934,-21.810616939445396,-27.392883860352484,-57.07547835129439,,,
rxn_45_103_603,cross_section_barn,reaction_cross_sections,8,136,134,0.013614611005813515,True,valid,-2.2440077816458293,-4.0637127209273025,-2.2440077816458293,-143.08430474596787,0,0.0,0.0,-10.107040792656303,-15.532922913559162,-17.095851782713087,-20.75362387538554,-28.585850388543694,-44.70129449053695,,
rxn_45_103_603,cross_section_barn,reaction_cross_sections,9,135,133,0.013614611005813515,True,valid,-1.2127447648395486,-7.14426975502169,-1.2127447648395486,-151.7912087447829,0,0.0,0.0,-8.137004876473505,-10.890477505475355,-16.96009922780558,-14.742886516669131,-19.814314233875724,-23.89688289833364,-48.99252896628874,
rxn_45_103_603,cross_section_barn,reaction_cross_sections,10,134,132,0.013614611005813515,True,valid,-2.96943113026032,-5.394940720445642,-2.96943113026032,-165.27250836521506,0,0.0,0.0,-6.156427628628517,-13.481143646294928,-11.209365879284467,-15.815713490956266,-18.745803678131434,-20.297659609244576,-23.45316305837747,-47.74885952359143
rxn_45_103_624,cross_section_barn,reaction_cross_sections,2,97,95,0.0215230811288194,True,valid,12.737917235317951,-26.928372422296135,12.737917235317951,-14.190455186978184,1,12.737917235317951,1.4730295999906309,,,,,,,,
rxn_45_103_624,cross_section_barn,reaction_cross_sections,3,96,94,0.0215230811288194,True,valid,5.853194673226594,-10.714147102478448,5.853194673226594,-36.50647839602508,1,5.853194673226594,1.5463052371076795,-31.645525966773224,,,,,,,
rxn_45_103_624,cross_section_barn,reaction_cross_sections,4,95,93,0.0215230811288194,True,valid,3.4014240402047036,-7.454222877283511,3.4014240402047036,-57.21531499736324,1,3.4014240402047036,1.4563083363887563,-18.182243918039312,-34.980272242245114,,,,,,
rxn_45_103_624,cross_section_barn,reaction_cross_sections,5,94,92,0.0215230811288194,True,valid,1.093978231374815,-9.045764929108842,1.093978231374815,-84.8036189187848,1,1.093978231374815,1.120938167191845,-14.834139425083642,-24.57817974940092,-37.43951304656622,,,,,
rxn_45_103_624,cross_section_barn,reaction_cross_sections,6,93,91,0.0215230811288194,True,valid,-1.710791225347762,-6.821274926172981,-1.710791225347762,-96.53261046754025,0,0.0,0.0,-12.47254405609491,-14.703395520484143,-22.77194915091713,-38.05265558852333,,,,
rxn_45_103_624,cross_section_barn,reaction_cross_sections,7,92,90,0.0215230811288194,True,valid,-2.4250241625451525,-6.7000026797112,-2.4250241625451525,-98.53631611591776,0,0.0,0.0,-11.471417207549088,-12.630853521767808,-16.98816517088388,-19.07753118563614,-29.243322187824486,,,
rxn_45_103_800,cross_section_barn,reaction_cross_sections,2,181,179,0.012956600593440726,True,valid,26.891628988970606,-18.258645953645853,26.891628988970606,8.632983035324752,1,26.891628988970606,2.0,,,,,,,,
rxn_45_103_800,cross_section_barn,reaction_cross_sections,3,180,178,0.012956600593440726,True,valid,34.275695238056635,-6.595139868608382,34.275695238056635,-37.319512950829036,1,34.275695238056635,2.425854250384113,-65.0000683202773,,,,,,,
rxn_45_103_800,cross_section_barn,reaction_cross_sections,4,179,177,0.012956600593440726,True,valid,27.462058505096444,3.748753957635006,27.462058505096444,-22.506683402459192,2,31.21081246273145,3.4285776395915897,-14.330371800998407,-39.387124064192236,,,,,,
